0,1
Game Info,Game Info
Won Toss,Texans (deferred)
Won OT Toss,Texans
Roof,retractable roof (closed)
Surface,astroturf
Duration,3:33
Attendance,69415
Vegas Line,Indianapolis Colts -7.0
Over/Under,45.5 (under)
