Quarter,Time,Tm,Detail,ARI,STL
1.0,12:20,Rams,Josh Brown 40 yard field goal,0,3
,2:28,Cardinals,Anquan Boldin 5 yard pass from Kurt Warner (Neil Rackers kick),7,3
2.0,11:48,Cardinals,Larry Fitzgerald 11 yard pass from Kurt Warner (Neil Rackers kick),14,3
,2:23,Cardinals,Beanie Wells 1 yard rush (Neil Rackers kick),21,3
3.0,0:13,Rams,Josh Brown 20 yard field goal,21,6
4.0,7:08,Rams,Steven Jackson 1 yard rush (Josh Brown kick),21,13
