Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Desmond King,LAC,0,8,7,87.5%,57,8.1,7.1,0,96.4,3.5,24,33,0,0,0,0.0,0,3,3,50.0%
Jatavis Brown,LAC,0,7,6,85.7%,62,10.3,8.9,0,103.6,4.7,33,29,2,0,0,0.0,0,11,0,0.0%
Michael Davis,LAC,0,4,3,75.0%,27,9.0,6.8,0,92.7,5.3,19,8,0,0,0,0.0,0,4,1,20.0%
Adrian Phillips,LAC,0,7,3,42.9%,53,17.7,7.6,0,69.3,13.9,39,14,0,0,0,0.0,0,9,0,0.0%
Derwin James,LAC,0,6,2,33.3%,26,13.0,4.3,0,47.9,4.2,16,10,4,1,0,0.0,1,9,1,10.0%
Casey Hayward,LAC,0,3,2,66.7%,23,11.5,7.7,0,89.6,11.3,22,1,0,0,0,0.0,0,2,0,0.0%
Jahleel Addae,LAC,0,1,1,100.0%,0,0.0,0.0,0,79.2,-3.0,-3,3,0,0,0,0.0,0,6,0,0.0%
Kyle Emanuel,LAC,0,2,1,50.0%,8,8.0,4.0,0,60.4,-1.0,-3,11,1,0,0,0.0,0,2,1,33.3%
Uchenna Nwosu,LAC,0,0,0,,,,,,,,,,2,2,1,0.5,4,2,0,0.0%
Melvin Ingram,LAC,0,0,0,,,,,,,,,,0,2,0,1.0,3,4,0,0.0%
Isaac Rochell,LAC,0,0,0,,,,,,,,,,0,0,0,1.5,2,2,0,0.0%
Corey Liuget,LAC,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
Justin Jones,LAC,0,0,0,,,,,,,,,,0,0,0,0.5,1,2,0,0.0%
Darius Philon,LAC,0,0,0,,,,,,,,,,0,0,0,0.5,1,1,0,0.0%
Rayshawn Jenkins,LAC,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%
Hayes Pullard,LAC,0,0,0,,,,,,,,,,1,0,0,0.0,0,3,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Gareon Conley,OAK,0,4,4,100.0%,100,25.0,25.0,1,158.3,4.5,18,82,0,0,0,0.0,0,6,1,14.3%
Nick Nelson,OAK,0,4,3,75.0%,16,5.3,4.0,0,81.2,1.5,6,10,1,0,0,0.0,0,2,1,33.3%
Tahir Whitehead,OAK,0,2,2,100.0%,10,5.0,5.0,0,87.5,2.0,4,6,3,0,0,0.0,0,7,1,12.5%
Daryl Worley,OAK,0,4,2,50.0%,42,21.0,10.5,1,127.1,15.0,42,0,0,0,0,0.0,0,3,1,25.0%
Marcus Gilchrist,OAK,1,3,2,66.7%,27,13.5,9.0,0,55.6,20.3,19,8,0,0,0,0.0,0,3,1,25.0%
Marquel Lee,OAK,0,2,1,50.0%,7,7.0,3.5,0,58.3,11.5,4,3,1,0,1,0.0,1,3,0,0.0%
Arden Key,OAK,0,1,1,100.0%,1,1.0,1.0,0,79.2,-2.0,-2,3,0,0,1,0.0,1,4,0,0.0%
Clinton McDonald,OAK,0,1,1,100.0%,-5,-5.0,-5.0,0,79.2,-5.0,-5,0,0,0,0,0.0,0,2,0,0.0%
Rashaan Melvin,OAK,0,2,1,50.0%,12,12.0,6.0,0,68.7,4.5,2,10,0,0,0,0.0,0,2,0,0.0%
Karl Joseph,OAK,0,2,1,50.0%,18,18.0,9.0,0,81.2,25.0,15,3,1,0,0,0.0,0,5,1,16.7%
Jason Cabinda,OAK,0,2,1,50.0%,18,18.0,9.0,0,81.2,26.5,18,0,0,0,0,0.0,0,3,1,25.0%
Maurice Hurst Jr.,OAK,0,0,0,,,,,,,,,,0,1,0,1.0,2,4,0,0.0%
Frostee Rucker,OAK,0,0,0,,,,,,,,,,0,1,1,0.0,2,1,0,0.0%
Nicholas Morrow,OAK,0,0,0,,,,,,,,,,3,0,1,0.0,1,3,1,25.0%
Erik Harris,OAK,0,1,0,0.0%,,,0.0,,39.6,9.0,,,4,0,0,0.0,0,1,0,0.0%
Johnathan Hankins,OAK,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%
