Unnamed: 0,LAC,OAK
First Downs,16,16
Rush-Yds-TDs,26-113-0,22-114-0
Cmp-Att-Yd-TD-INT,18-26-223-2-1,24-37-243-0-0
Sacked-Yards,1-1,4-40
Net Pass Yards,222,203
Total Yards,335,317
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,6-70,6-55
Third Down Conv.,2-10,5-15
Fourth Down Conv.,1-1,1-3
Time of Possession,28:50,31:10
