Quarter,Time,Down,ToGo,Location,LAC,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Michael Badgley kicks off 65 yards, returned by Dwayne Harris for no gain (tackle by Rayshawn Jenkins and Justin Jackson)",0.000,0.150
1,14:54,1,10,OAK 19,0,0,Doug Martin left tackle for 2 yards (tackle by Melvin Ingram and Damion Square),0.150,-0.060
1,14:18,2,8,OAK 21,0,0,Derek Carr pass complete short middle to Brandon LaFell for 10 yards (tackle by Michael Davis),-0.060,1.000
1,13:58,1,10,OAK 31,0,0,Doug Martin left guard for 5 yards (tackle by Brandon Mebane and Corey Liuget),1.000,1.140
1,13:19,2,5,OAK 36,0,0,Doug Martin right end for 1 yard (tackle by Derwin James),1.140,0.560
1,12:37,3,4,OAK 37,0,0,Derek Carr pass incomplete short right intended for Jared Cook,0.560,-0.910
1,12:33,4,4,OAK 37,0,0,Johnny Townsend left end for no gain (tackle by Austin Ekeler),-0.910,4.170
1,12:07,1,10,LAC 21,0,0,Derek Carr pass complete short left to Doug Martin for 2 yards (tackle by Jatavis Brown),4.170,3.900
1,11:24,2,8,LAC 19,0,0,Martavis Bryant right end for 2 yards (tackle by Derwin James),3.900,3.460
1,10:45,,,,,,Timeout #1 by Oakland Raiders,,
1,10:45,3,6,LAC 17,0,0,Derek Carr pass complete short middle to Brandon LaFell for 10 yards (tackle by Jahleel Addae),3.460,5.600
1,10:08,1,7,LAC 7,0,0,Doug Martin up the middle for 1 yard (tackle by Derwin James and Jatavis Brown),5.600,4.950
1,9:22,2,6,LAC 6,0,0,Doug Martin up the middle for 4 yards (tackle by Brandon Mebane and Derwin James),4.950,4.950
1,8:48,3,2,LAC 2,0,0,Doug Martin up the middle for 1 yard (tackle by Adrian Phillips and Damion Square),4.950,3.550
1,8:08,4,1,LAC 1,0,0,Derek Carr pass complete short middle to Dwayne Harris for no gain (tackle by Derwin James),3.550,0.380
1,8:03,1,10,LAC 1,0,0,Derek Watt up the middle for 2 yards (tackle by Arden Key),-0.380,-0.630
1,7:28,2,8,LAC 3,0,0,Melvin Gordon left guard for 3 yards (tackle by Karl Joseph),-0.630,-0.840
1,6:42,3,5,LAC 6,0,0,Philip Rivers pass incomplete short middle intended for Keenan Allen (defended by Nicholas Morrow),-0.840,-2.490
1,6:35,4,5,LAC 6,0,0,"Donnie Jones punts 47 yards, returned by Dwayne Harris for 4 yards (tackle by Adrian Phillips). Penalty on Keith Smith: Illegal Block Above the Waist, 10 yards",-2.490,-1.660
1,6:25,1,10,OAK 41,0,0,Derek Carr pass complete short right to Brandon LaFell for 12 yards (tackle by Michael Davis),1.660,2.460
1,5:44,1,10,LAC 47,0,0,Derek Carr pass complete short right to Martavis Bryant for 8 yards (tackle by Hayes Pullard),2.460,2.990
1,5:01,2,2,LAC 39,0,0,Derek Carr pass incomplete short left intended for Jordy Nelson (defended by Michael Davis),2.990,2.280
1,4:57,3,2,LAC 39,0,0,Derek Carr pass complete short middle to Jalen Richard for 6 yards (tackle by Adrian Phillips and Derwin James),2.280,3.380
1,4:17,1,10,LAC 33,0,0,Jalen Richard left tackle for 6 yards (tackle by Adrian Phillips),3.380,3.650
1,3:41,2,4,LAC 27,0,0,Jalen Richard right guard for no gain (tackle by Melvin Ingram),3.650,2.940
1,3:01,3,4,LAC 27,0,0,Derek Carr pass incomplete short middle intended for Jared Cook,2.940,1.750
1,2:56,4,4,LAC 27,0,3,Daniel Carlson 46 yard field goal good,1.750,3.000
1,2:51,,,OAK 35,0,3,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,2:51,1,10,LAC 25,0,3,Philip Rivers pass incomplete deep middle intended for Tyrell Williams,0.610,0.060
1,2:45,2,10,LAC 25,0,3,Melvin Gordon right guard for 1 yard (tackle by Marquel Lee and Arden Key),0.060,-0.490
1,2:00,3,9,LAC 26,0,3,Philip Rivers pass incomplete short right intended for Keenan Allen (defended by Daryl Worley),-0.490,-1.630
1,1:55,4,9,LAC 26,0,3,"Donnie Jones punts 46 yards, returned by Dwayne Harris for -2 yards (tackle by Austin Ekeler)",-1.630,-0.670
1,1:43,1,10,OAK 26,0,3,Doug Martin left end for 16 yards (tackle by Derwin James),0.670,1.730
1,1:07,1,10,OAK 42,0,3,Doug Martin right end for 8 yards (tackle by Adrian Phillips and Jahleel Addae),1.730,2.270
1,0:22,2,2,OAK 50,0,3,Doug Martin right tackle for -1 yards (tackle by Hayes Pullard and Melvin Ingram),2.270,1.420
Quarter,Time,Down,ToGo,Location,LAC,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,OAK 49,0,3,Derek Carr pass complete short right to Martavis Bryant for 8 yards (tackle by Casey Hayward),1.420,2.720
2,14:13,,,,,,Timeout #2 by Oakland Raiders,,
2,14:13,1,10,LAC 43,0,3,Derek Carr pass complete short middle to Doug Martin for 6 yards (tackle by Jatavis Brown),2.720,2.990
2,13:30,2,4,LAC 37,0,3,Doug Martin up the middle for 12 yards (tackle by Jahleel Addae),2.990,3.910
2,12:46,1,10,LAC 25,0,3,Derek Carr up the middle for 3 yards (tackle by Hayes Pullard),3.910,3.770
2,12:01,2,7,LAC 22,0,3,Doug Martin up the middle for 1 yard (tackle by Casey Hayward),3.770,3.200
2,11:20,3,6,LAC 21,0,3,"Derek Carr sacked by Melvin Ingram for -15 yards. Derek Carr fumbles (forced by Melvin Ingram), recovered by Corey Liuget at LAC-36 and returned for 24 yards (tackle by Jalen Richard)",3.200,-2.920
2,11:10,1,10,OAK 40,0,3,Melvin Gordon right end for 4 yards (tackle by Tahir Whitehead),2.920,2.910
2,10:37,2,6,OAK 36,0,3,Philip Rivers pass complete short middle to Melvin Gordon for 1 yard (tackle by Johnathan Hankins),2.910,2.340
2,9:58,3,5,OAK 35,0,3,Philip Rivers pass complete short right to Tyrell Williams for 12 yards (tackle by Rashaan Melvin),2.340,4.040
2,9:26,1,10,OAK 23,0,3,Melvin Gordon left tackle for 4 yards (tackle by Karl Joseph),4.040,4.050
2,8:38,2,6,OAK 19,0,3,Philip Rivers pass incomplete deep right intended for Melvin Gordon,4.050,3.340
2,8:30,,,,,,Timeout #1 by Los Angeles Chargers,,
2,8:30,3,6,OAK 19,0,3,"Penalty on Jacquies Smith: Neutral Zone Infraction, 5 yards (no play)",3.340,4.280
2,8:30,3,1,OAK 14,0,3,Derek Watt up the middle for no gain (tackle by Maurice Hurst and Marquel Lee),4.280,2.660
2,7:57,4,1,OAK 14,0,3,Melvin Gordon left end for 2 yards (tackle by Frostee Rucker and Tahir Whitehead),2.660,4.780
2,7:21,1,10,OAK 12,0,3,Melvin Gordon left end for 4 yards (tackle by Tahir Whitehead),4.780,4.830
2,6:42,2,6,OAK 8,0,3,Philip Rivers sacked by Maurice Hurst for -1 yards,4.830,3.700
2,5:55,3,7,OAK 9,0,3,Philip Rivers pass incomplete short middle intended for Antonio Gates (defended by Daryl Worley),3.700,2.830
2,5:50,4,7,OAK 9,3,3,Michael Badgley 27 yard field goal good,2.830,3.000
2,5:47,,,LAC 35,3,3,"Michael Badgley kicks off 64 yards, returned by Dwayne Harris for no gain (tackle by Austin Ekeler)",0.000,0.670
2,5:41,1,10,OAK 26,3,3,Derek Carr pass complete short left to Martavis Bryant for 1 yard (tackle by Damion Square and Jatavis Brown),0.670,0.270
2,5:03,2,9,OAK 27,3,3,Derek Carr sacked by Darius Philon and Isaac Rochell for -10 yards,0.270,-2.020
2,4:23,3,19,OAK 17,3,3,Derek Carr pass complete short right to Brandon LaFell for 15 yards (tackle by Jahleel Addae and Derwin James),-2.020,-1.240
