Quarter,Time,Tm,Detail,LAC,OAK
1.0,2:51,Raiders,Daniel Carlson 46 yard field goal,0,3
2.0,5:47,Chargers,Michael Badgley 27 yard field goal,3,3
,0:24,Chargers,Keenan Allen 11 yard pass from Philip Rivers (Michael Badgley kick),10,3
3.0,12:32,Chargers,Melvin Gordon 66 yard pass from Philip Rivers (Michael Badgley kick),17,3
4.0,14:49,Raiders,Daniel Carlson 30 yard field goal,17,6
,7:12,Chargers,Michael Badgley 41 yard field goal,20,6
