Quarter,Time,Tm,Detail,CHI,STL
1.0,13:05,Bears,Matt Forte 13 yard rush (Robbie Gould kick),7,0
,1:44,Bears,Jason McKie 7 yard pass from Kyle Orton (Robbie Gould kick),14,0
2.0,9:22,Bears,Matt Forte 47 yard rush (Robbie Gould kick),21,0
,5:01,Rams,Josh Brown 43 yard field goal,21,3
,1:38,Bears,Robbie Gould 43 yard field goal,24,3
3.0,5:13,Bears,Robbie Gould 38 yard field goal,27,3
