Unnamed: 0,CHI,STL
First Downs,18,13
Rush-Yds-TDs,33-208-2,19-14-0
Cmp-Att-Yd-TD-INT,17-28-132-1-0,19-36-236-0-4
Sacked-Yards,1-6,5-43
Net Pass Yards,126,193
Total Yards,334,207
Fumbles-Lost,2-2,0-0
Turnovers,2,4
Penalties-Yards,3-14,11-85
Third Down Conv.,4-12,3-13
Fourth Down Conv.,0-0,1-2
Time of Possession,30:15,29:45
