Quarter,Time,Down,ToGo,Location,CHI,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Josh Brown kicks off 69 yards, returned by Danieal Manning for 50 yards (tackle by Keenan Burton)",0.000,2.320
1,14:53,1,10,STL 49,0,0,Devin Hester left end for 20 yards (tackle by Corey Chavous),2.320,3.640
1,14:31,1,10,STL 29,0,0,Matt Forte left tackle for 1 yard (tackle by Clifton Ryan),3.640,3.240
1,13:48,2,9,STL 28,0,0,Kyle Orton pass complete short right to Desmond Clark for 15 yards (tackle by Corey Chavous),3.240,4.710
1,13:10,1,10,STL 13,6,0,"Matt Forte up the middle for 13 yards, touchdown",4.710,7.000
1,13:10,,,STL 2,7,0,Robbie Gould kicks extra point good,0.000,0.000
1,13:05,,,CHI 30,7,0,"Robbie Gould kicks off 72 yards, returned by Derek Stanley for 26 yards (tackle by Craig Steltz)",0.000,0.540
1,12:58,1,10,STL 24,7,0,Donnie Avery left end for -5 yards (tackle by Alex Brown),0.540,-0.740
1,12:19,2,15,STL 19,7,0,Marc Bulger pass complete short right to Torry Holt for 15 yards (tackle by Kevin Payne),-0.740,1.200
1,11:46,1,10,STL 34,7,0,Antonio Pittman left tackle for -3 yards (tackle by Dusty Dvoracek),1.200,0.250
1,11:09,2,13,STL 31,7,0,Marc Bulger pass complete short left to Antonio Pittman for -4 yards (tackle by Lance Briggs),0.250,-0.960
1,10:30,3,17,STL 27,7,0,Marc Bulger sacked by Adewale Ogunleye for -8 yards,-0.960,-2.140
1,10:06,4,25,STL 19,7,0,"Donnie Jones punts 44 yards, returned by Devin Hester for 1 yard (tackle by David Vobora). Penalty on David Vobora: Ineligible Downfield Kick, 5 yards",-2.140,-1.800
1,9:57,1,10,CHI 43,7,0,Matt Forte up the middle for 2 yards (tackle by Quinton Culberson),1.800,1.520
1,9:23,2,8,CHI 45,7,0,Kyle Orton pass complete short left to Desmond Clark for 9 yards (tackle by Will Witherspoon),1.520,2.520
1,8:54,1,10,STL 46,7,0,Kyle Orton pass complete short right to Jason McKie for 3 yards (tackle by Will Witherspoon),2.520,2.380
1,8:21,2,7,STL 43,7,0,Matt Forte left guard for 3 yards (tackle by Pisa Tinoisamoa),2.380,2.080
1,7:43,3,4,STL 40,7,0,Kyle Orton pass complete short left to Devin Hester for no gain,2.080,0.590
1,7:08,4,4,STL 40,7,0,"Brad Maynard punts 40 yards, touchback",0.590,-0.280
1,6:55,1,10,STL 20,7,0,Antonio Pittman left tackle for 3 yards (tackle by Mike Brown),0.280,0.140
1,6:20,2,7,STL 23,7,0,Trent Green sacked by Adewale Ogunleye for -13 yards,0.140,-2.590
1,5:38,3,20,STL 10,7,0,Kenneth Darby up the middle for -2 yards (tackle by Brian Urlacher),-2.590,-2.490
1,5:08,4,22,STL 8,7,0,"Donnie Jones punts 54 yards, returned by Devin Hester for -1 yards (tackle by Todd Johnson)",-2.490,-1.400
1,4:54,1,10,CHI 37,7,0,Kyle Orton pass incomplete short right intended for Jason McKie,1.400,0.860
1,4:46,2,10,CHI 37,7,0,Matt Forte right tackle for 4 yards (tackle by James Hall),0.860,0.700
1,4:01,3,6,CHI 41,7,0,Kyle Orton pass complete deep right to Devin Hester for 27 yards (tackle by Ronald Bartell),0.700,3.450
1,3:34,1,10,STL 32,7,0,Devin Hester right end for 12 yards (tackle by Victor Adeyanju),3.450,4.240
1,2:53,1,10,STL 20,7,0,Kyle Orton pass complete short left to Devin Hester for 8 yards (tackle by Pisa Tinoisamoa),4.240,5.040
1,2:20,,,,7,0,Timeout #1 by Chicago Bears,0.000,5.040
1,2:20,2,2,STL 12,7,0,Matt Forte left tackle for 5 yards (tackle by Quinton Culberson),5.040,5.600
1,1:48,1,7,STL 7,13,0,"Kyle Orton pass complete short left to Jason McKie for 7 yards, touchdown",5.600,7.000
1,1:48,,,STL 2,14,0,Robbie Gould kicks extra point good,0.000,0.000
1,1:44,,,CHI 30,14,0,"Robbie Gould kicks off 68 yards, returned by Derek Stanley for 75 yards (tackle by Garrett Wolfe)",0.000,4.040
1,1:31,1,10,CHI 23,14,0,Trent Green pass complete short right to Dane Looker for 11 yards (tackle by Mike Brown),4.040,4.780
1,0:57,1,10,CHI 12,14,0,Antonio Pittman right tackle for -1 yards (tackle by Nick Roach),4.780,3.940
1,0:22,2,11,CHI 13,14,0,Trent Green pass incomplete short left intended for Donnie Avery,3.940,3.100
1,0:15,3,11,CHI 13,14,0,Trent Green sacked by Tommie Harris for -9 yards,3.100,1.990
Quarter,Time,Down,ToGo,Location,CHI,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,20,CHI 22,14,0,Josh Brown 40 yard field goal no good,1.990,-0.940
2,14:55,1,10,CHI 30,14,0,Kyle Orton pass complete short left to Matt Forte for 7 yards (tackle by Fakhir Brown),0.940,1.340
2,14:24,2,3,CHI 37,14,0,Matt Forte right tackle for 7 yards (tackle by O.J. Atogwe),1.340,1.860
2,13:47,1,10,CHI 44,14,0,Kyle Orton pass complete short right to Desmond Clark for 3 yards (tackle by Will Witherspoon),1.860,1.720
2,12:59,2,7,CHI 47,14,0,Kyle Orton pass complete short right to Rashied Davis for 10 yards (tackle by Victor Adeyanju),1.720,2.720
2,12:35,1,10,STL 43,14,0,"Matt Forte right guard for 2 yards. Matt Forte fumbles, recovered by O.J. Atogwe at STL-41 (tackle by John Tait)",2.720,-1.660
,,,,,,,"CHI challenged the fumble ruling, and the play was upheld.",,
2,12:25,1,10,STL 41,14,0,"Penalty on Richie Incognito: False Start, 5 yards (no play)",1.660,1.330
2,12:25,1,15,STL 36,14,0,Trent Green pass complete short right to Dane Looker for 6 yards (tackle by Charles Tillman),1.330,1.260
2,11:56,2,9,STL 42,14,0,Trent Green pass complete short right to Donnie Avery for 14 yards (tackle by Charles Tillman),1.260,2.650
2,11:18,1,10,CHI 44,14,0,Antonio Pittman left tackle for no gain (tackle by Marcus Harrison),2.650,2.110
2,10:43,2,10,CHI 44,14,0,"Penalty on Donnie Avery: False Start, 5 yards (no play)",2.110,1.440
2,10:23,2,15,CHI 49,14,0,Trent Green pass incomplete deep right intended for Donnie Avery (defended by Mike Brown),1.440,0.760
2,10:15,3,15,CHI 49,14,0,Trent Green pass incomplete deep left intended for Torry Holt,0.760,0.000
2,10:09,4,15,CHI 49,14,0,Donnie Jones pass incomplete short left intended for Eric Bassey (defended by Corey Graham),0.000,-2.190
2,10:03,1,10,CHI 49,14,0,Matt Forte right end for 4 yards (tackle by Victor Adeyanju),2.190,2.190
2,9:31,2,6,STL 47,20,0,"Matt Forte right guard for 47 yards, touchdown",2.190,7.000
2,9:31,,,STL 2,21,0,Robbie Gould kicks extra point good,0.000,0.000
2,9:22,,,CHI 30,21,0,"Robbie Gould kicks off 69 yards, returned by Derek Stanley for 25 yards (tackle by Joey LaRocque)",0.000,0.670
2,9:16,1,10,STL 26,21,0,Antonio Pittman left end for 8 yards (tackle by Mike Brown and Kevin Payne),0.670,1.210
2,8:41,2,2,STL 34,21,0,Antonio Pittman left tackle for 11 yards (tackle by Lance Briggs),1.210,1.930
2,8:05,1,10,STL 45,21,0,Antonio Pittman right end for no gain (tackle by Nick Roach),1.930,1.380
2,7:32,2,10,STL 45,21,0,Trent Green pass complete deep left to Daniel Fells for 26 yards (tackle by Kevin Payne),1.380,3.640
2,6:48,1,10,CHI 29,21,0,Trent Green pass complete short right to Keenan Burton for 7 yards (tackle by Nick Roach),3.640,4.050
2,6:13,2,3,CHI 22,21,0,"Kenneth Darby left tackle for 4 yards. Penalty on Jacob Bell: Offensive Holding, 10 yards (no play)",4.050,2.700
2,5:47,2,13,CHI 32,21,0,Trent Green pass incomplete short right intended for Derek Stanley (defended by Brian Urlacher),2.700,2.020
2,5:42,3,13,CHI 32,21,0,Trent Green pass complete short left to Dane Looker for 7 yards (tackle by Kevin Payne),2.020,1.830
2,5:06,4,6,CHI 25,21,3,Josh Brown 43 yard field goal good,1.830,3.000
2,5:01,,,STL 30,21,3,"Josh Brown kicks off 70 yards, returned by Danieal Manning for 26 yards (tackle by Gary Stills)",0.000,0.670
2,4:54,1,10,CHI 26,21,3,Adrian Peterson right tackle for 8 yards (tackle by Corey Chavous),0.670,1.210
2,4:22,2,2,CHI 34,21,3,Adrian Peterson right tackle for 3 yards (tackle by James Hall),1.210,1.400
2,3:46,1,10,CHI 37,21,3,Kyle Orton pass complete deep right to Devin Hester for 18 yards (tackle by Ronald Bartell),1.400,2.590
2,3:03,1,10,STL 45,21,3,Kyle Orton pass incomplete deep left intended for Greg Olsen (defended by Fakhir Brown),2.590,2.040
2,2:54,2,10,STL 45,21,3,Adrian Peterson right guard for 16 yards (tackle by O.J. Atogwe and Clifton Ryan),2.040,3.640
2,2:13,1,10,STL 29,21,3,Adrian Peterson left end for 2 yards (tackle by Will Witherspoon and Corey Chavous),3.640,3.370
2,2:00,2,8,STL 27,21,3,"Penalty on John St. Clair: False Start, 5 yards (no play)",3.370,2.700
2,2:00,2,13,STL 32,21,3,Kyle Orton pass incomplete deep middle intended for Desmond Clark,2.700,2.020
2,1:55,3,13,STL 32,21,3,Kyle Orton pass complete short right to Desmond Clark for 7 yards (tackle by Jason Craft),2.020,1.830
2,1:43,,,,21,3,Timeout #1 by St. Louis Rams,0.000,1.830
2,1:43,4,6,STL 25,24,3,Robbie Gould 43 yard field goal good,1.830,3.000
2,1:38,,,CHI 30,24,3,"Robbie Gould kicks off 69 yards, returned by Derek Stanley for 26 yards (tackle by Craig Steltz)",0.000,0.740
2,1:33,1,10,STL 27,24,3,Trent Green pass incomplete deep middle intended for Dane Looker,0.740,0.200
2,1:28,2,10,STL 27,24,3,Trent Green pass incomplete deep left intended for Dane Looker,0.200,-0.490
2,1:24,3,10,STL 27,24,3,Trent Green pass incomplete deep right intended for Torry Holt,-0.490,-1.570
2,1:18,4,10,STL 27,24,3,"Donnie Jones punts 55 yards, returned by Devin Hester for -5 yards (tackle by Eric Bassey). Penalty on Gary Stills: Unnecessary Roughness (Offsetting), Penalty on Trumaine McBride: Illegal Block Above the Waist (Offsetting) (no play)",-1.570,-1.570
2,1:01,4,10,STL 27,24,3,"Donnie Jones punts 53 yards, returned by Devin Hester for 12 yards (tackle by O.J. Atogwe). Penalty on Eric Bassey: Unnecessary Roughness, 15 yards, Penalty on Eric Bassey: Player Out of Bounds on Punt (Declined)",-1.570,-2.060
2,0:54,1,10,CHI 47,24,3,Kyle Orton pass incomplete short right intended for Greg Olsen,2.060,1.520
2,0:49,2,10,CHI 47,24,3,Kyle Orton pass complete short middle to Devin Hester for 4 yards (tackle by Jason Craft),1.520,1.360
