Quarter,Time,Tm,Detail,CLE,BAL
1,8:40,Browns,Billy Cundiff 21 yard field goal,3,0
2,0:02,Browns,Billy Cundiff 51 yard field goal,6,0
3,5:13,Ravens,Bernard Pierce 5 yard rush (Justin Tucker kick),6,7
4,8:57,Ravens,Marlon Brown 5 yard pass from Joe Flacco (Justin Tucker kick),6,14
