Unnamed: 0,DET,CHI
First Downs,24,26
Rush-Yds-TDs,22-60-2,31-140-3
Cmp-Att-Yd-TD-INT,27-42-402-3-1,26-34-267-1-0
Sacked-Yards,2-2,2-18
Net Pass Yards,400,249
Total Yards,460,389
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,7-45,3-20
Third Down Conv.,6-11,4-11
Fourth Down Conv.,1-2,0-1
Time of Possession,27:42,32:18
