Quarter,Time,Tm,Detail,DET,CHI
1.0,12:37,Bears,Cairo Santos 45 yard field goal,0,3
,6:13,Bears,David Montgomery 13 yard rush (Cairo Santos kick failed),0,9
,0:15,Lions,Adrian Peterson 3 yard rush (Matt Prater kick failed),6,9
2.0,10:10,Bears,Cordarrelle Patterson 5 yard rush (Cairo Santos kick),6,16
,2:22,Lions,Quintez Cephus 49 yard pass from Matthew Stafford (Matt Prater kick),13,16
,0:36,Bears,David Montgomery 4 yard rush (Cairo Santos kick),13,23
3.0,3:55,Lions,Jesse James 9 yard pass from Matthew Stafford (Matt Prater kick),20,23
4.0,11:23,Bears,Cole Kmet 11 yard pass from Mitchell Trubisky (Cairo Santos kick),20,30
,2:18,Lions,Marvin Jones 25 yard pass from Matthew Stafford (Matt Prater kick),27,30
,1:37,Lions,Adrian Peterson 5 yard rush (Matt Prater kick),34,30
