Quarter,Time,Tm,Detail,PHI,WAS
1.0,7:07,Eagles,Chad Lewis 3 yard pass from Donovan McNabb (David Akers kick),7,0
2.0,12:21,Eagles,Donovan McNabb 1 yard rush (David Akers kick),14,0
,9:29,Eagles,Freddie Mitchell 8 yard pass from Donovan McNabb (David Akers kick),21,0
,2:53,Redskins,Rock Cartwright 1 yard rush (John Hall kick),21,7
3.0,8:16,Eagles,Correll Buckhalter 11 yard pass from Donovan McNabb (David Akers kick),28,7
4.0,2:00,Eagles,David Akers 26 yard field goal,31,7
