Unnamed: 0,CHI,NOR
First Downs,17,19
Rush-Yds-TDs,31-157-1,30-101-2
Cmp-Att-Yd-TD-INT,14-32-164-0-1,23-28-299-0-0
Sacked-Yards,2-14,2-13
Net Pass Yards,150,286
Total Yards,307,387
Fumbles-Lost,0-0,2-2
Turnovers,1,2
Penalties-Yards,4-31,7-51
Third Down Conv.,8-17,2-9
Fourth Down Conv.,0-1,0-0
Time of Possession,28:37,31:23
