Quarter,Time,Tm,Detail,CHI,NOR
1.0,11:08,Saints,Alvin Kamara 8 yard rush (Wil Lutz kick),0,7
2.0,14:52,Bears,Connor Barth 27 yard field goal,3,7
,3:41,Saints,Mark Ingram 1 yard rush (Wil Lutz kick),3,14
3.0,5:42,Bears,Connor Barth 44 yard field goal,6,14
4.0,12:54,Saints,Wil Lutz 45 yard field goal,6,17
,3:58,Bears,Tarik Cohen 1 yard rush (pass failed),12,17
,1:35,Saints,Wil Lutz 49 yard field goal,12,20
