Quarter,Time,Down,ToGo,Location,STL,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Paul Edinger kicks off 59 yards, returned by Arlen Harris for 13 yards (tackle by Ahmad Merritt)",0.000,0.540
1,14:56,1,10,STL 24,0,0,Marshall Faulk left tackle for 2 yards (tackle by Keith Traylor),0.540,0.270
1,14:21,2,8,STL 26,0,0,Marshall Faulk right tackle for 5 yards (tackle by Bryan Robinson),0.270,0.230
1,13:43,3,3,STL 31,0,0,"Penalty on Andy McCollum: False Start, 5 yards (no play)",0.230,-0.430
1,13:25,3,8,STL 26,0,0,Marc Bulger pass incomplete intended for Isaac Bruce (defended by Bryan Robinson),-0.430,-1.630
1,13:20,4,8,STL 26,0,0,"Sean Landeta punts 45 yards, returned by R.W. McQuarters for no gain",-1.630,-0.870
1,13:06,1,10,CHI 29,0,0,Anthony Thomas right tackle for 21 yards (tackle by Travis Fisher),0.870,2.260
1,12:27,1,10,CHI 50,0,0,Anthony Thomas left guard for 2 yards (tackle by Robert W. Thomas and Brian Young),2.260,1.980
1,11:43,2,8,STL 48,0,0,Anthony Thomas right guard for 2 yards (tackle by Robert W. Thomas),1.980,1.550
1,11:02,3,6,STL 46,0,0,Chris Chandler pass incomplete intended for Desmond Clark,1.550,0.200
1,10:46,4,6,STL 46,0,0,Brad Maynard punts 44 yards,0.200,0.380
1,10:46,1,10,STL 3,0,0,Marc Bulger pass complete to Isaac Bruce for 16 yards (tackle by Brian Urlacher),-0.380,0.150
1,10:10,1,10,STL 19,0,0,Marc Bulger pass complete to Torry Holt for 19 yards (tackle by Jerry Azumah),0.150,1.470
1,9:46,1,10,STL 38,0,0,Marshall Faulk left tackle for -1 yards (tackle by Jerry Azumah),1.470,0.790
1,9:07,2,11,STL 37,0,0,"Penalty on Torry Holt: False Start, 5 yards (no play)",0.790,0.110
1,8:46,2,16,STL 32,0,0,Marc Bulger pass complete to Dane Looker for 7 yards (tackle by Michael Green),0.110,0.370
1,8:04,3,9,STL 39,0,0,Marc Bulger pass incomplete intended for Torry Holt is intercepted by Charles Tillman at CHI-49,0.370,-2.190
1,7:57,1,10,CHI 49,0,0,Chris Chandler pass incomplete intended for David Terrell is intercepted by Jerametrius Butler at STL-18,2.190,-0.040
1,7:50,1,10,STL 18,0,0,"Penalty on Orlando Pace: False Start, 5 yards (no play)",0.040,-0.450
1,7:50,1,15,STL 13,0,0,Marshall Faulk right end for 8 yards (tackle by Brian Urlacher),-0.450,0.010
1,7:21,2,7,STL 21,0,0,Marshall Faulk right guard for 2 yards (tackle by Warrick Holdman),0.010,-0.530
1,7:21,3,5,STL 23,0,0,Marc Bulger pass complete to Isaac Bruce for 7 yards (tackle by Michael Green),-0.530,0.940
1,6:06,1,10,STL 30,0,0,Marc Bulger pass complete to Torry Holt for 24 yards (tackle by Charles Tillman),0.940,2.520
1,5:45,1,10,CHI 46,0,0,"Marc Bulger pass incomplete intended for Torry Holt. Penalty on Charles Tillman: Defensive Pass Interference, 9 yards (no play)",2.520,3.120
1,5:41,1,10,CHI 37,0,0,Marc Bulger pass incomplete intended for Marshall Faulk,3.120,2.570
1,5:36,2,10,CHI 37,0,0,"Penalty on Adam Timmerman: False Start, 5 yards (no play)",2.570,1.900
1,5:36,2,15,CHI 42,0,0,Marc Bulger pass incomplete intended for Isaac Bruce (defended by Bobby Gray),1.900,1.220
1,5:30,,,,0,0,Timeout #1 by St. Louis Rams,0.000,1.220
1,5:30,3,15,CHI 42,0,0,Marc Bulger pass incomplete intended for Marshall Faulk,1.220,0.460
1,5:26,4,15,CHI 42,0,0,Sean Landeta punts 32 yards,0.460,0.380
1,5:15,1,10,CHI 10,0,0,Anthony Thomas right guard for no gain (tackle by Adam Archuleta and Grant Wistrom),-0.380,-0.780
1,4:43,2,10,CHI 10,0,0,Chris Chandler pass complete to Desmond Clark for 5 yards (tackle by Ryan Pickett),-0.780,-0.840
1,4:05,3,5,CHI 15,0,0,Chris Chandler pass incomplete intended for Justin Gage,-0.840,-2.440
1,3:58,4,5,CHI 15,0,0,"Brad Maynard punts 30 yards, returned by Dane Looker for 3 yards (tackle by Bryan Knight)",-2.440,-2.790
1,3:53,1,10,CHI 42,0,0,Marc Bulger pass complete to Torry Holt for 11 yards (tackle by Jerry Azumah),2.790,3.510
1,3:30,1,10,CHI 31,0,0,Marc Bulger pass complete to Isaac Bruce for 2 yards (tackle by Charles Tillman),3.510,3.240
1,2:55,2,8,CHI 29,0,0,"Cam Cleeland right end for -5 yards (tackle by Keith Traylor). Cam Cleeland fumbles (forced by Keith Traylor), recovered by Cam Cleeland at CHI-34",3.240,1.880
1,2:09,3,13,CHI 34,0,0,Marc Bulger pass complete to Torry Holt for 11 yards (tackle by Mike Brown),1.880,2.050
1,1:19,,,,0,0,Timeout #2 by St. Louis Rams,0.000,2.050
1,1:19,4,2,CHI 23,3,0,Jeff Wilkins 41 yard field goal good,2.050,3.000
1,,,,STL 30,3,0,"Jeff Wilkins kicks off 48 yards, returned by Rabih Abdullah for 9 yards (tackle by Courtland Bullard)",0.000,1.000
1,1:09,1,10,CHI 31,3,0,Chris Chandler pass complete to Stanley Pritchett for 4 yards (tackle by Jerametrius Butler),1.000,1.000
1,0:33,2,6,CHI 35,3,0,Anthony Thomas right tackle for 1 yard (tackle by Jerametrius Butler and Pisa Tinoisamoa),1.000,0.430
Quarter,Time,Down,ToGo,Location,STL,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,CHI 36,3,0,Chris Chandler pass complete to Desmond Clark for 7 yards (tackle by Grant Wistrom),0.430,1.800
2,14:24,1,10,CHI 43,3,0,Chris Chandler pass incomplete intended for Desmond Clark (defended by Robert W. Thomas),1.800,1.250
2,14:19,2,10,CHI 43,3,0,Chris Chandler pass complete to Dez White for 6 yards (tackle by Travis Fisher),1.250,1.350
2,13:38,3,4,CHI 49,3,0,Chris Chandler pass complete to Marty Booker for 11 yards (tackle by Jerametrius Butler),1.350,2.920
2,12:55,1,10,STL 40,3,0,Chris Chandler pass complete to Desmond Clark for 5 yards (tackle by Pisa Tinoisamoa),2.920,3.050
2,12:21,2,5,STL 35,3,0,Anthony Thomas right end for no gain (tackle by Robert W. Thomas),3.050,2.340
2,11:36,3,5,STL 35,3,0,Chris Chandler pass incomplete intended for Desmond Clark is intercepted by Tommy Polley at STL-17,2.340,0.060
2,11:29,1,10,STL 17,3,0,Marshall Faulk left tackle for 2 yards (tackle by Alfonso Boone),-0.060,-0.250
2,10:56,2,8,STL 19,3,0,Marc Bulger pass incomplete intended for Isaac Bruce,-0.250,-1.000
2,10:51,3,8,STL 19,3,0,Marc Bulger pass complete to Adam Timmerman for -7 yards (tackle by Brian Urlacher),-1.000,-2.490
2,10:42,4,15,STL 12,3,6,"Sean Landeta punts 48 yards, returned by R.W. McQuarters for 60 yards, touchdown",-2.490,-7.000
2,,,,STL 2,3,7,Paul Edinger kicks extra point good,0.000,0.000
2,,,,CHI 30,3,7,"Paul Edinger kicks off 55 yards, returned by Spencer Nead for 20 yards (tackle by Hunter Hillenmeyer)",0.000,1.270
2,10:17,1,10,STL 35,3,7,Marc Bulger sacked by Jerry Azumah for -6 yards,1.270,-0.090
2,9:49,2,16,STL 29,3,7,Marc Bulger sacked by Alfonso Boone for -8 yards,-0.090,-1.810
2,9:13,3,24,STL 21,3,7,Marc Bulger sacked by Alex Brown for -11 yards,-1.810,-2.490
2,8:49,4,35,STL 10,3,7,"Sean Landeta punts 37 yards, fair catch by R.W. McQuarters",-2.490,-2.460
