Quarter,Time,Tm,Detail,STL,CHI
1.0,1:14,Rams,Jeff Wilkins 41 yard field goal,3,0
2.0,10:25,Bears,R.W. McQuarters 60 yard punt return (Paul Edinger kick),3,7
,3:04,Bears,Anthony Thomas 1 yard rush (Paul Edinger kick),3,14
3.0,3:48,Rams,Torry Holt 4 yard pass from Marc Bulger (Jeff Wilkins kick),10,14
4.0,12:46,Rams,Brandon Manumaleuna 4 yard pass from Marc Bulger (Jeff Wilkins kick),17,14
,7:21,Rams,Jeff Wilkins 44 yard field goal,20,14
,5:58,Bears,Dez White 11 yard pass from Chris Chandler (Paul Edinger kick),20,21
,0:38,Rams,Jeff Wilkins 31 yard field goal,23,21
