Unnamed: 0,STL,CHI
First Downs,22,13
Rush-Yds-TDs,25-112-0,26-95-1
Cmp-Att-Yd-TD-INT,29-46-240-2-2,16-32-153-1-2
Sacked-Yards,4-32,1-7
Net Pass Yards,208,146
Total Yards,320,241
Fumbles-Lost,2-1,1-0
Turnovers,3,2
Penalties-Yards,7-45,6-47
Third Down Conv.,5-16,5-16
Fourth Down Conv.,2-2,1-2
Time of Possession,32:13,27:47
