Unnamed: 0,ATL,TEN
First Downs,17,17
Rush-Yds-TDs,26-140-1,36-149-0
Cmp-Att-Yd-TD-INT,20-34-246-1-0,19-29-238-4-0
Sacked-Yards,6-44,2-12
Net Pass Yards,202,226
Total Yards,342,375
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,3-15,6-53
Third Down Conv.,4-15,5-15
Fourth Down Conv.,1-2,1-1
Time of Possession,27:01,32:59
