Quarter,Time,Tm,Detail,ATL,TEN
1.0,9:47,Falcons,Younghoe Koo 29 yard field goal,3,0
,2:28,Titans,DeAndre Hopkins 47 yard pass from Will Levis (Nick Folk kick),3,7
2.0,5:27,Titans,DeAndre Hopkins 16 yard pass from Will Levis (Nick Folk kick),3,14
3.0,12:06,Falcons,Younghoe Koo 49 yard field goal,6,14
,3:02,Falcons,Younghoe Koo 39 yard field goal,9,14
,1:37,Titans,DeAndre Hopkins 61 yard pass from Will Levis (Nick Folk kick),9,21
4.0,14:17,Falcons,Bijan Robinson 13 yard rush (Younghoe Koo kick),16,21
,6:55,Titans,Nick Westbrook-Ikhine 33 yard pass from Will Levis (Nick Folk kick),16,28
,3:46,Falcons,Scott Miller 8 yard pass from Taylor Heinicke (Younghoe Koo kick),23,28
