Quarter,Time,Tm,Detail,BAL,PIT
1.0,6:18,Steelers,Rashard Mendenhall 1 yard rush (Shaun Suisham kick),0,7
,1:20,Ravens,Ray Rice 14 yard rush (Billy Cundiff kick),7,7
,0:53,Ravens,Cory Redding 13 yard defensive fumble return (Billy Cundiff kick),14,7
2.0,5:43,Ravens,Todd Heap 4 yard pass from Joe Flacco (Billy Cundiff kick),21,7
3.0,9:11,Steelers,Heath Miller 9 yard pass from Ben Roethlisberger (Shaun Suisham kick),21,14
,1:21,Steelers,Hines Ward 8 yard pass from Ben Roethlisberger (Shaun Suisham kick),21,21
4.0,12:15,Steelers,Shaun Suisham 35 yard field goal,21,24
,3:54,Ravens,Billy Cundiff 24 yard field goal,24,24
,1:33,Steelers,Rashard Mendenhall 2 yard rush (Shaun Suisham kick),24,31
