Unnamed: 0,BAL,PIT
First Downs,12,21
Rush-Yds-TDs,18-35-1,31-71-2
Cmp-Att-Yd-TD-INT,16-30-125-1-1,19-32-226-2-0
Sacked-Yards,5-34,6-34
Net Pass Yards,91,192
Total Yards,126,263
Fumbles-Lost,2-2,2-2
Turnovers,3,2
Penalties-Yards,6-74,9-93
Third Down Conv.,5-12,7-14
Fourth Down Conv.,0-1,1-1
Time of Possession,25:32,34:28
