Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, returned by Pharoh Cooper for 22 yards (tackle by Jared Mayden)",,
1,14:51,1,10,NYG 22,0,0,Daniel Jones pass incomplete short left intended for Saquon Barkley,,
1,14:47,2,10,NYG 22,0,0,Daniel Jones left end for 5 yards (tackle by Rodney McLeod),,
1,13:59,3,5,NYG 27,0,0,Daniel Jones pass incomplete short middle intended for Evan Engram,,
1,13:54,4,5,NYG 27,0,0,"Riley Dixon punts 46 yards, returned by Jalen Reagor for 4 yards (tackle by Elijhaa Penny and Julian Love)",,
1,13:41,1,10,PHI 31,0,0,Miles Sanders right end for -1 yards (tackle by Reggie Ragland),,
1,13:02,2,11,PHI 30,0,0,Jalen Hurts pass incomplete short right intended for DeVonta Smith,,
1,12:57,3,11,PHI 30,0,0,Jalen Hurts scrambles right end for 1 yard (tackle by Azeez Ojulari),,
1,12:19,4,10,PHI 31,0,0,"Arryn Siposs punts 42 yards, returned by Pharoh Cooper for 9 yards (tackle by T.J. Edwards)",,
1,12:07,1,10,NYG 36,0,0,Daniel Jones pass complete short right to Saquon Barkley for 1 yard (tackle by Avonte Maddox),,
1,11:36,2,9,NYG 37,0,0,Daniel Jones pass complete short left to Evan Engram for 20 yards (tackle by Josh Sweat),,
1,10:53,1,10,PHI 43,0,0,Saquon Barkley right end for no gain (tackle by Hassan Ridgeway),,
1,10:27,2,10,PHI 43,0,0,Daniel Jones scrambles left tackle for 2 yards (tackle by Avonte Maddox),,
1,9:42,3,8,PHI 41,0,0,Daniel Jones pass complete short right to Evan Engram for 7 yards (tackle by T.J. Edwards),,
1,9:10,4,1,PHI 34,0,0,Daniel Jones left guard for 1 yard (tackle by Ryan Kerrigan and Alex Singleton),,
1,8:26,1,10,PHI 33,0,0,Daniel Jones scrambles up the middle for 14 yards (tackle by Alex Singleton),,
1,7:40,1,10,PHI 19,0,0,Daniel Jones pass incomplete short middle intended for Kenny Golladay (defended by Alex Singleton),,
1,7:35,2,10,PHI 19,0,0,Daniel Jones up the middle for 2 yards (tackle by Alex Singleton and Milton Williams),,
1,6:52,3,8,PHI 17,0,0,Daniel Jones pass incomplete deep right intended for Kenny Golladay (defended by Darius Slay),,
1,6:48,4,8,PHI 17,0,3,Graham Gano 35 yard field goal good,,
1,6:44,,,NYG 35,0,3,"Graham Gano kicks off 52 yards, returned by Jalen Reagor for 13 yards (tackle by Steven Parker and Elerson Smith)",,
1,6:36,1,10,PHI 26,0,3,Miles Sanders left tackle for 7 yards (tackle by James Bradberry),,
1,6:00,2,3,PHI 33,0,3,Miles Sanders right guard for 4 yards (tackle by Reggie Ragland and Xavier McKinney),,
1,5:23,1,10,PHI 37,0,3,Jalen Hurts pass incomplete short left intended for DeVonta Smith,,
1,5:17,2,10,PHI 37,0,3,Jalen Hurts pass complete short left to DeVonta Smith for 14 yards (tackle by Xavier McKinney),,
1,4:36,1,10,NYG 49,0,3,Miles Sanders up the middle for 5 yards (tackle by Reggie Ragland),,
1,4:05,2,5,NYG 44,0,3,Jalen Hurts pass complete short left to Miles Sanders for no gain (tackle by Julian Love),,
1,3:16,3,5,NYG 44,0,3,Jalen Hurts pass complete deep right to Quez Watkins for 19 yards (tackle by Aaron Robinson),,
1,2:48,1,10,NYG 25,0,3,Quez Watkins left end for 3 yards (tackle by Xavier McKinney),,
1,2:02,2,7,NYG 22,0,3,Jalen Hurts pass complete short left to Boston Scott for 2 yards (tackle by Tae Crowder),,
1,1:15,3,5,NYG 20,0,3,Jalen Hurts pass short middle intended for Quez Watkins is intercepted by Darnay Holmes at NYG-5 and returned for 15 yards (tackle by Quez Watkins and Jordan Mailata),,
1,1:05,1,10,NYG 20,0,3,Daniel Jones pass complete short left to Darius Slayton for 18 yards (tackle by Anthony Harris),,
1,0:26,1,10,NYG 38,0,3,Saquon Barkley left guard for 2 yards (tackle by T.J. Edwards),,
Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,NYG 40,0,3,Saquon Barkley left tackle for 1 yard (tackle by Javon Hargrave),,
2,14:21,3,7,NYG 41,0,3,Daniel Jones pass complete short middle to John Ross for 19 yards (tackle by Avonte Maddox and T.J. Edwards),,
2,13:28,,,,,,Timeout #1 by New York Giants,,
2,13:28,1,10,PHI 40,0,3,Devontae Booker up the middle for 1 yard (tackle by Genard Avery),,
2,12:45,2,9,PHI 39,0,3,Daniel Jones pass complete short right to Pharoh Cooper for 6 yards (tackle by Avonte Maddox and Alex Singleton),,
2,11:58,3,3,PHI 33,0,3,Daniel Jones pass incomplete short right intended for Darius Slayton,,
2,11:52,4,3,PHI 33,0,3,Graham Gano 51 yard field goal no good,,
2,11:47,1,10,PHI 41,0,3,Jalen Hurts pass complete short right to Dallas Goedert for no gain (tackle by Xavier McKinney),,
2,11:06,2,10,PHI 41,0,3,Jalen Hurts pass incomplete deep left intended for Quez Watkins (defended by Adoree' Jackson),,
