Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Boston Scott,PHI,15,64,1,4,36,2.4,28,1.9,0,
Miles Sanders,PHI,9,64,0,2,47,5.2,17,1.9,0,
Jalen Hurts,PHI,8,77,0,5,66,8.3,11,1.4,0,
Quez Watkins,PHI,1,3,0,0,3,3.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Saquon Barkley,NYG,13,40,0,1,29,2.2,11,0.8,0,
Daniel Jones,NYG,9,30,0,2,24,2.7,6,0.7,0,
Devontae Booker,NYG,3,10,0,1,5,1.7,5,1.7,0,
Pharoh Cooper,NYG,1,3,0,,3,3.0,0,0.0,0,
Darius Slayton,NYG,1,-13,0,0,-13,-13.0,0,0.0,0,
