Quarter,Time,Tm,Detail,CHI,PIT
1.0,9:16,Steelers,Hines Ward 14 yard pass from Ben Roethlisberger (Jeff Reed kick),0,7
,2:30,Bears,Robbie Gould 29 yard field goal,3,7
2.0,7:25,Steelers,Jerome Bettis 1 yard rush (Jeff Reed kick),3,14
3.0,5:23,Steelers,Jerome Bettis 5 yard rush (Jeff Reed kick),3,21
4.0,13:38,Bears,Thomas Jones 1 yard rush (Robbie Gould kick failed),9,21
