Quarter,Time,Down,ToGo,Location,CHI,PIT,Detail,EPB,EPA
2,8:05,1,10,CHI 29,3,7,Ben Roethlisberger pass complete to Cedrick Wilson for 17 yards (tackle by Charles Tillman and Brandon McGowan). Penalty on Michael Green: Defensive Holding (Declined),3.640,4.780
2,7:46,1,10,CHI 12,3,7,Willie Parker left end for 11 yards (tackle by Brandon McGowan),4.780,6.970
2,7:29,1,1,CHI 1,3,13,"Jerome Bettis up the middle for 1 yard, touchdown",6.970,7.000
2,,,,CHI 2,3,14,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,3,14,"Jeff Reed kicks off 53 yards, returned by Jason McKie for 17 yards (tackle by Tyrone Carter)",0.000,1.200
2,7:19,1,10,CHI 34,3,14,Kyle Orton pass incomplete intended for Adrian Peterson,1.200,0.660
2,7:15,2,10,CHI 34,3,14,Kyle Orton pass incomplete intended for Adrian Peterson,0.660,-0.030
2,7:09,3,10,CHI 34,3,14,Kyle Orton pass incomplete intended for Muhsin Muhammad,-0.030,-1.110
2,7:05,4,10,CHI 34,3,14,"Brad Maynard punts 52 yards, returned by Antwaan Randle El for 8 yards (tackle by Leon Joe)",-1.110,-0.410
2,6:53,1,10,PIT 22,3,14,Ben Roethlisberger pass incomplete intended for Heath Miller,0.410,-0.130
2,6:47,2,10,PIT 22,3,14,Ben Roethlisberger pass complete to Hines Ward for 8 yards (tackle by Jerry Azumah),-0.130,0.230
2,6:04,3,2,PIT 30,3,14,"Ben Roethlisberger pass complete to Antwaan Randle El for 13 yards (tackle by Michael Green). Antwaan Randle El fumbles (forced by Michael Green), recovered by Cedrick Wilson at PIT-43",0.230,1.800
2,5:19,1,10,PIT 43,3,14,Willie Parker right end for no gain (tackle by Brian Urlacher and Israel Idonije),1.800,1.250
2,4:42,2,10,PIT 43,3,14,Willie Parker up the middle for 5 yards (tackle by Todd Johnson and Israel Idonije),1.250,1.220
2,3:59,3,5,PIT 48,3,14,Ben Roethlisberger pass incomplete intended for Quincy Morgan,1.220,-0.190
2,3:56,4,5,PIT 48,3,14,"Chris Gardocki punts 45 yards, returned by Bobby Wade for 9 yards (tackle by Clint Kriewaldt)",-0.190,0.140
2,3:45,1,10,CHI 16,3,14,Kyle Orton pass complete to Muhsin Muhammad for 16 yards (tackle by James Farrior),-0.140,1.070
2,3:05,1,10,CHI 32,3,14,Kyle Orton pass complete to Thomas Jones for 4 yards (tackle by Larry Foote),1.070,1.070
2,2:26,2,6,CHI 36,3,14,Kyle Orton pass incomplete intended for Bernard Berrian (defended by Deshea Townsend),1.070,0.370
2,2:20,3,6,CHI 36,3,14,Kyle Orton pass complete to Muhsin Muhammad for 15 yards (tackle by Deshea Townsend),0.370,2.320
2,2:00,1,10,PIT 49,3,14,Kyle Orton left end for 1 yard (tackle by James Farrior),2.320,1.920
2,1:22,2,9,PIT 48,3,14,Kyle Orton pass incomplete intended for Thomas Jones,1.920,1.220
2,1:17,3,9,PIT 48,3,14,"Kyle Orton pass incomplete intended for Muhsin Muhammad. Penalty on Deshea Townsend: Illegal Contact, 5 yards (no play)",1.220,2.720
2,1:11,1,10,PIT 43,3,14,Thomas Jones up the middle for 1 yard (tackle by Brett Keisel),2.720,2.310
2,1:06,,,,3,14,Timeout #2 by Chicago Bears,0.000,2.310
2,1:06,2,9,PIT 42,3,14,Kyle Orton pass incomplete intended for Desmond Clark (defended by Deshea Townsend),2.310,1.620
2,1:02,,,,3,14,Timeout #3 by Chicago Bears,0.000,1.620
2,1:02,3,9,PIT 42,3,14,Kyle Orton pass incomplete intended for Muhsin Muhammad (defended by Ike Taylor),1.620,0.460
2,0:56,4,9,PIT 42,3,14,"Brad Maynard punts 42 yards, touchback",0.460,-0.280
2,0:47,1,10,PIT 20,3,14,Ben Roethlisberger kneels for -1 yards,0.280,-0.460
2,0:30,2,11,PIT 19,3,14,Ben Roethlisberger kneels for -1 yards,-0.460,-1.330
Quarter,Time,Down,ToGo,Location,CHI,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 30,3,14,"Robbie Gould kicks off 56 yards, returned by Quincy Morgan for 19 yards (tackle by Leon Joe)",0.000,1.140
3,14:54,1,10,PIT 33,3,14,Ben Roethlisberger pass incomplete intended for Hines Ward (defended by Charles Tillman),1.140,0.590
3,14:50,2,10,PIT 33,3,14,Ben Roethlisberger pass complete to Hines Ward for 5 yards (tackle by Charles Tillman),0.590,0.560
3,14:07,3,5,PIT 38,3,14,Ben Roethlisberger pass incomplete intended for Cedrick Wilson,0.560,-0.850
3,14:02,4,5,PIT 38,3,14,"Chris Gardocki punts 56 yards, returned by Bobby Wade for no gain. Bobby Wade fumbles, recovered by Bobby Wade at CHI-1",-0.850,0.350
3,13:50,1,10,CHI 12,3,14,Thomas Jones right end for no gain (tackle by Clark Haggans),-0.350,-0.780
3,13:13,2,10,CHI 12,3,14,Kyle Orton pass incomplete intended for Desmond Clark (defended by James Farrior),-0.780,-1.420
3,13:08,3,10,CHI 12,3,14,Kyle Orton sacked by Joey Porter for -9 yards,-1.420,-2.490
3,12:34,4,19,CHI 3,3,14,"Brad Maynard punts 40 yards, returned by Antwaan Randle El for 1 yard (tackle by Hunter Hillenmeyer). Penalty on Sean Morey: Offensive Holding, 10 yards",-2.490,-2.130
3,12:24,1,10,PIT 48,3,14,Willie Parker right guard for 5 yards (tackle by Alex Brown),2.130,2.260
3,11:47,2,5,CHI 47,3,14,Willie Parker right end for 7 yards (tackle by Michael Green),2.260,2.920
3,11:17,1,10,CHI 40,3,14,Jerome Bettis up the middle for 2 yards (tackle by Alex Brown and Charles Tillman),2.920,2.640
3,10:36,2,8,CHI 38,3,14,Jerome Bettis right tackle for 8 yards (tackle by Brian Urlacher),2.640,3.580
3,9:52,,,,3,14,Timeout #1 by Pittsburgh Steelers,0.000,3.580
3,9:52,1,10,CHI 30,3,14,"Penalty on Heath Miller: False Start, 5 yards (no play)",3.580,3.250
3,9:52,1,15,CHI 35,3,14,Willie Parker right end for -2 yards (tackle by Brian Urlacher),3.250,2.090
3,9:11,2,17,CHI 37,3,14,Willie Parker right tackle for 3 yards (tackle by Todd Johnson and Tank Johnson),2.090,1.820
3,8:29,3,14,CHI 34,3,14,Ben Roethlisberger pass complete to Antwaan Randle El for 15 yards (tackle by Nathan Vasher and Michael Green),1.820,4.310
3,7:44,1,10,CHI 19,3,14,Willie Parker right tackle for 1 yard (tackle by Lance Briggs and Brian Urlacher),4.310,3.880
3,7:00,2,9,CHI 18,3,14,Ben Roethlisberger pass complete to Willie Parker for no gain,3.880,3.140
3,6:12,3,9,CHI 18,3,14,Ben Roethlisberger pass complete to Quincy Morgan for 10 yards (tackle by Jerry Azumah),3.140,5.370
3,6:03,1,8,CHI 8,3,14,Jerome Bettis right guard for 3 yards (tackle by Todd Johnson),5.370,5.150
3,5:28,2,5,CHI 5,3,20,"Jerome Bettis right tackle for 5 yards, touchdown",5.150,7.000
3,,,,CHI 2,3,21,Jeff Reed kicks extra point good,0.000,0.000
3,,,,PIT 30,3,21,"Jeff Reed kicks off 42 yards, returned by Israel Idonije for no gain. Israel Idonije fumbles, recovered by Jason McKie at CHI-28",0.000,0.810
3,5:19,1,10,CHI 28,3,21,Thomas Jones left end for 36 yards (tackle by Troy Polamalu),0.810,3.180
3,4:47,1,10,PIT 36,3,21,Kyle Orton pass incomplete intended for Adrian Peterson,3.180,2.640
3,4:41,2,10,PIT 36,3,21,Adrian Peterson left end for 3 yards (tackle by Ike Taylor and James Farrior),2.640,2.350
3,3:59,3,7,PIT 33,3,21,Kyle Orton pass incomplete intended for Thomas Jones,2.350,1.150
3,3:54,4,7,PIT 33,3,21,"Robbie Gould punts 28 yards, returned by Ike Taylor for 19 yards (tackle by Brad Maynard)",1.150,-0.540
3,3:44,1,10,PIT 24,3,21,"Willie Parker up the middle for 1 yard (tackle by Lance Briggs). Willie Parker fumbles (forced by Lance Briggs), recovered by Willie Parker at PIT-25",0.540,0.130
3,2:59,2,9,PIT 25,3,21,Jerome Bettis for 39 yards (tackle by Charles Tillman),0.130,3.180
3,2:31,1,10,CHI 36,3,21,Verron Haynes right tackle for 4 yards (tackle by Brandon McGowan),3.180,3.180
3,1:48,2,6,CHI 32,3,21,"Verron Haynes up the middle for 2 yards (tackle by Charles Tillman). Verron Haynes fumbles (forced by Charles Tillman), recovered by Verron Haynes at CHI-30",3.180,2.740
3,0:47,3,4,CHI 30,3,21,Verron Haynes right tackle for 1 yard (tackle by Charles Tillman),2.740,1.580
3,0:04,4,3,CHI 29,3,21,Verron Haynes up the middle for 1 yard (tackle by Brian Urlacher and Lance Briggs),1.580,-0.870
Quarter,Time,Down,ToGo,Location,CHI,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CHI 29,3,21,Kyle Orton pass complete to Desmond Clark for 27 yards (tackle by James Farrior and Chris Hope),0.870,2.650
4,14:25,1,10,PIT 44,3,21,Kyle Orton pass complete to Bernard Berrian for 43 yards (tackle by Ike Taylor),2.650,6.970
4,13:40,1,1,PIT 1,9,21,"Thomas Jones up the middle for 1 yard, touchdown",6.970,7.000
4,,,,PIT 2,9,21,Robbie Gould kicks extra point no good,0.000,-1.000
4,,,,CHI 30,9,21,"Robbie Gould kicks off 59 yards, returned by Quincy Morgan for 19 yards (tackle by Robbie Gould). Penalty on Tyrone Carter: Illegal Block Above the , 10 yards",0.000,0.280
4,13:31,1,10,PIT 20,9,21,"Jerome Bettis up the middle for 6 yards (tackle by Brian Urlacher and Brandon McGowan). Penalty on Tommie Harris: Defensive Offside, 5 yards (no play)",0.280,1.010
4,13:07,1,5,PIT 25,9,21,Jerome Bettis left tackle for 8 yards (tackle by Brian Urlacher),1.010,1.140
4,12:26,1,10,PIT 33,9,21,Jerome Bettis up the middle for -1 yards (tackle by Brandon McGowan),1.140,0.460
4,11:46,2,11,PIT 32,9,21,Ben Roethlisberger pass complete to Verron Haynes for 13 yards (tackle by Hunter Hillenmeyer and Nathan Vasher),0.460,1.930
4,11:00,1,10,PIT 45,9,21,Willie Parker left guard for no gain (tackle by Brandon McGowan),1.930,1.380
4,10:18,2,10,PIT 45,9,21,Willie Parker right end for 4 yards (tackle by Lance Briggs and Brandon McGowan),1.380,1.220
4,9:30,3,6,PIT 49,9,21,Ben Roethlisberger pass incomplete intended for Quincy Morgan (defended by Nathan Vasher),1.220,-0.130
4,9:25,4,6,PIT 49,9,21,"Chris Gardocki punts 44 yards, returned by Bobby Wade for 8 yards (tackle by Clint Kriewaldt)",-0.130,0.220
4,9:13,1,10,CHI 15,9,21,Thomas Jones left end for 3 yards (tackle by Clark Haggans and Troy Polamalu),-0.220,-0.280
4,8:29,2,7,CHI 18,9,21,Kyle Orton pass incomplete intended for Muhsin Muhammad,-0.280,-1.000
4,8:24,3,7,CHI 18,9,21,Kyle Orton sacked for -5 yards,-1.000,-2.490
4,7:52,4,12,CHI 13,9,21,"Brad Maynard punts 34 yards, returned by Antwaan Randle El for -4 yards (tackle by Michael Green)",-2.490,-2.190
4,7:40,1,10,PIT 49,9,21,Jerome Bettis up the middle for 5 yards (tackle by Lance Briggs),2.190,2.320
4,6:57,2,5,CHI 46,9,21,Jerome Bettis up the middle for 7 yards (tackle by Tank Johnson and Charles Tillman),2.320,2.980
4,6:12,1,10,CHI 39,9,21,Jerome Bettis up the middle for 6 yards (tackle by Charles Tillman),2.980,3.250
4,5:29,2,4,CHI 33,9,21,Willie Parker right end for 1 yard (tackle by Lance Briggs),3.250,2.680
4,4:43,3,3,CHI 32,9,21,Willie Parker left guard for no gain (tackle by Brandon McGowan),2.680,1.290
4,3:56,4,3,CHI 32,9,21,Penalty on Chris Gardocki: Delay of Game (Declined),1.290,1.290
4,3:54,4,3,CHI 32,9,21,"Chris Gardocki punts 32 yards, touchback",1.290,-0.280
4,3:49,1,10,CHI 20,9,21,Kyle Orton pass complete to Muhsin Muhammad for 8 yards,0.280,0.810
4,3:44,2,2,CHI 28,9,21,Kyle Orton pass complete to Thomas Jones for 2 yards (tackle by James Farrior and Tyrone Carter),0.810,0.940
4,3:20,1,10,CHI 30,9,21,Kyle Orton pass complete to Muhsin Muhammad for 7 yards,0.940,1.340
4,3:16,2,3,CHI 37,9,21,Kyle Orton pass incomplete intended for Bernard Berrian,1.340,0.630
4,3:12,3,3,CHI 37,9,21,Kyle Orton pass complete to Muhsin Muhammad for 21 yards (tackle by Chris Hope),0.630,2.790
4,3:06,1,10,PIT 42,9,21,Kyle Orton pass complete to Thomas Jones for 2 yards (tackle by James Farrior),2.790,2.510
4,2:41,2,8,PIT 40,9,21,Kyle Orton pass complete to Bobby Wade for 5 yards (tackle by Bryant McFadden),2.510,2.480
4,2:20,3,3,PIT 35,9,21,Kyle Orton pass incomplete intended for Muhsin Muhammad,2.480,0.990
4,2:18,4,3,PIT 35,9,21,Kyle Orton pass incomplete intended for Justin Gage,0.990,-1.270
4,2:15,1,10,PIT 35,9,21,Jerome Bettis up the middle for 3 yards (tackle by Alfonso Boone and Tommie Harris),1.270,1.130
4,2:10,,,,9,21,Timeout #1 by Chicago Bears,0.000,1.130
4,2:10,2,7,PIT 38,9,21,Jerome Bettis up the middle for 3 yards (tackle by Brandon McGowan),1.130,0.830
4,2:00,3,4,PIT 41,9,21,Jerome Bettis right guard for 5 yards (tackle by Lance Briggs and Todd Johnson),0.830,1.990
4,1:47,,,,9,21,Timeout #2 by Chicago Bears,0.000,1.990
4,1:47,1,10,PIT 46,9,21,Jerome Bettis up the middle for 4 yards (tackle by Hunter Hillenmeyer),1.990,1.990
4,1:40,,,,9,21,Timeout #3 by Chicago Bears,0.000,1.990
4,1:40,2,6,PIT 50,9,21,Jerome Bettis up the middle for 4 yards (tackle by Brandon McGowan),1.990,1.820
4,0:58,3,2,CHI 46,9,21,Jerome Bettis up the middle for -1 yards (tackle by Brandon McGowan and Alex Brown),1.820,0.130
4,0:12,,,,9,21,Timeout #2 by Pittsburgh Steelers,0.000,0.130
4,0:12,4,3,CHI 47,9,21,Chris Gardocki punts 24 yards,0.130,-0.480
4,0:02,1,10,CHI 23,9,21,Kyle Orton kneels for -1 yards,0.480,-0.200
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
