Unnamed: 0,CHI,PIT
First Downs,15,20
Rush-Yds-TDs,18-83-1,46-190-2
Cmp-Att-Yd-TD-INT,17-35-207-0-0,13-20-173-1-0
Sacked-Yards,3-22,0-0
Net Pass Yards,185,173
Total Yards,268,363
Fumbles-Lost,2-0,4-0
Turnovers,0,0
Penalties-Yards,1-5,7-55
Third Down Conv.,3-13,7-14
Fourth Down Conv.,1-2,0-1
Time of Possession,22:41,37:19
