Quarter,Time,Tm,Detail,SFO,SEA
1.0,13:11,Seahawks,Travis Homer 73 yard rush (Jason Myers kick),0,7
,10:27,49ers,George Kittle 24 yard pass from Jimmy Garoppolo (Robbie Gould kick),7,7
,1:32,49ers,Elijah Mitchell 2 yard rush (Robbie Gould kick),14,7
2.0,9:43,49ers,Robbie Gould 50 yard field goal,17,7
,5:35,Seahawks,Adrian Peterson 1 yard rush (Jason Myers kick),17,14
,1:48,49ers,George Kittle 48 yard pass from Jimmy Garoppolo (Robbie Gould kick failed),23,14
,0:12,Seahawks,D'Wayne Eskridge 7 yard pass from Russell Wilson (Jason Myers kick),23,21
3.0,10:28,Seahawks,"Safety, Jimmy Garoppolo sacked in end zone by Carlos Dunlap II",23,23
,2:28,Seahawks,Tyler Lockett 12 yard pass from Russell Wilson (Jason Myers kick),23,30
