Unnamed: 0,SFO,SEA
First Downs,17,21
Rush-Yds-TDs,25-71-1,27-146-2
Cmp-Att-Yd-TD-INT,20-30-299-2-2,30-37-231-2-1
Sacked-Yards,1-5,4-50
Net Pass Yards,294,181
Total Yards,365,327
Fumbles-Lost,1-1,4-2
Turnovers,3,3
Penalties-Yards,10-86,6-40
Third Down Conv.,3-10,5-15
Fourth Down Conv.,1-2,2-2
Time of Possession,26:41,33:19
