Unnamed: 0,TEN,BAL
First Downs,14,22
Rush-Yds-TDs,22-47-0,38-132-1
Cmp-Att-Yd-TD-INT,17-32-163-1-2,18-27-153-0-2
Sacked-Yards,0-0,0-0
Net Pass Yards,163,153
Total Yards,210,285
Fumbles-Lost,0-0,0-0
Turnovers,2,2
Penalties-Yards,10-78,11-91
Third Down Conv.,6-13,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,25:32,34:28
