Quarter,Time,Tm,Detail,TEN,HOU
1,3:06,Titans,Rob Bironas 41 yard field goal,3,0
2,13:20,Titans,Rob Bironas 33 yard field goal,6,0
,7:54,Texans,Ron Dayne 1 yard rush (Kris Brown kick),6,7
3,9:26,Texans,Ron Dayne 2 yard rush (Kris Brown kick),6,14
,1:49,Titans,Travis Henry 9 yard rush (Rob Bironas kick),13,14
4,12:00,Texans,Kris Brown 49 yard field goal,13,17
,3:53,Titans,Travis Henry 2 yard rush (Rob Bironas kick),20,17
,2:09,Texans,Kris Brown 46 yard field goal,20,20
OT,11:14,Titans,Vince Young 39 yard rush,26,20
