Quarter,Time,Down,ToGo,Location,TEN,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Nick Folk kicks off 63 yards, returned by Rashid Shaheed for 19 yards. Rashid Shaheed fumbles (forced by Amani Hooker), recovered by Amani Hooker at NO-24",0.000,-3.640
1,14:56,1,15,NOR 29,0,0,"Penalty on Trevon Wesco: False Start, 5 yards (accepted) (no play)",3.640,3.640
1,14:56,1,15,NOR 29,0,0,Ryan Tannehill pass incomplete short right intended for Chigoziem Okonkwo,3.640,2.760
1,14:53,2,15,NOR 29,0,0,Ryan Tannehill scrambles right end for 2 yards (tackle by Khalen Saunders),2.760,2.350
1,14:05,3,13,NOR 27,0,0,"Penalty on DeAndre Hopkins: False Start, 5 yards (accepted) (no play)",2.350,1.690
1,13:49,3,18,NOR 32,0,0,Ryan Tannehill pass incomplete short right intended for Tyjae Spears,1.690,1.240
1,13:45,4,18,NOR 32,3,0,Nick Folk 50 yard field goal good,1.240,3.000
1,13:40,,,TEN 35,3,0,"Nick Folk kicks off 62 yards, returned by Rashid Shaheed for 22 yards (tackle by Monty Rice and Otis Reese)",0.000,0.610
1,13:35,1,10,NOR 25,3,0,Derek Carr pass complete deep left to Michael Thomas for 25 yards (tackle by Kristian Fulton),0.610,2.260
1,13:14,1,10,NOR 50,3,0,Derek Carr pass complete short right to Jamaal Williams for 5 yards (tackle by Harold Landry),2.260,2.390
1,12:42,2,5,TEN 45,3,0,Jamaal Williams right guard for no gain (tackle by Denico Autry),2.390,1.690
1,12:11,3,5,TEN 45,3,0,Derek Carr pass complete short middle to Michael Thomas for 12 yards (tackle by Sean Murphy-Bunting),1.690,3.380
1,11:36,1,10,TEN 33,3,0,Derek Carr pass complete deep right to Rashid Shaheed for 22 yards,3.380,4.840
1,11:13,1,10,TEN 11,3,0,Jamaal Williams right guard for 3 yards (tackle by Kyle Peko and Kevin Byard),4.840,4.700
1,10:31,2,7,TEN 8,3,0,Derek Carr pass incomplete short right intended for Michael Thomas,4.700,3.760
1,10:25,3,7,TEN 8,3,0,Derek Carr pass incomplete short middle intended for Michael Thomas,3.760,2.960
1,10:21,4,7,TEN 8,3,3,Blake Grupe 26 yard field goal good,2.960,3.000
1,10:18,,,NOR 35,3,3,"Blake Grupe kicks off 65 yards, touchback.",0.000,0.610
1,10:18,1,10,TEN 25,3,3,Derrick Henry left guard for 6 yards (tackle by Marshon Lattimore),0.610,0.870
1,9:41,2,4,TEN 31,3,3,Derrick Henry left guard for 6 yards (tackle by Pete Werner and Tyrann Mathieu),0.870,1.400
1,9:00,1,10,TEN 37,3,3,Ryan Tannehill sacked by and Carl Granderson for no gain and Cameron Jordan for no gain,1.400,0.860
1,8:16,2,10,TEN 37,3,3,Derrick Henry left tackle for 6 yards (tackle by Pete Werner),0.860,0.960
1,7:33,3,4,TEN 43,3,3,"Ryan Tannehill pass complete short right to Tyjae Spears for no gain (tackle by Pete Werner). Penalty on Alontae Taylor: Defensive Holding, 5 yards (accepted) (no play)",0.960,2.130
1,7:11,1,10,TEN 48,3,3,"Penalty on Chigoziem Okonkwo: False Start, 5 yards (accepted) (no play)",2.130,1.800
1,6:47,1,15,TEN 43,3,3,Ryan Tannehill pass complete short middle to DeAndre Hopkins for 9 yards (tackle by Marshon Lattimore),1.800,2.120
1,6:06,2,6,NOR 48,3,3,Derrick Henry right end for 18 yards (tackle by Demario Davis),2.120,3.580
1,5:20,1,10,NOR 30,3,3,Ryan Tannehill pass complete short left to DeAndre Hopkins for 15 yards (tackle by Marcus Maye),3.580,4.580
1,4:33,1,10,NOR 15,3,3,Ryan Tannehill pass incomplete short left intended for Tyjae Spears,4.580,3.950
1,4:29,2,10,NOR 15,3,3,Derrick Henry left end for 3 yards (tackle by Tyrann Mathieu),3.950,3.580
1,3:43,3,7,NOR 12,3,3,Ryan Tannehill pass complete short right to Nick Westbrook-Ikhine for 3 yards (tackle by Alontae Taylor),3.580,2.900
1,3:10,4,4,NOR 9,6,3,Nick Folk 27 yard field goal good,2.900,3.000
1,3:07,,,TEN 35,6,3,"Nick Folk kicks off 63 yards, returned by Rashid Shaheed for 26 yards (tackle by Anthony Kendall)",0.000,0.810
1,3:01,1,10,NOR 28,6,3,Derek Carr pass complete short left to Rashid Shaheed for -1 yards (tackle by Amani Hooker),0.810,0.130
1,2:24,2,11,NOR 27,6,3,"Penalty on Chris Olave: False Start, 5 yards (accepted) (no play)",0.130,-0.550
1,2:10,2,16,NOR 22,6,3,Derek Carr pass complete short left to Juwan Johnson for 4 yards (tackle by Kristian Fulton and Amani Hooker),-0.550,-0.690
1,1:34,3,12,NOR 26,6,3,Derek Carr pass incomplete deep left intended for Chris Olave,-0.690,-1.630
1,1:30,4,12,NOR 26,6,3,Lou Hedley punts 51 yards out of bounds,-1.630,-0.480
1,1:22,1,10,TEN 23,6,3,Ryan Tannehill pass incomplete short left intended for Nick Westbrook-Ikhine (defended by Marshon Lattimore),0.480,-0.070
1,1:18,2,10,TEN 23,6,3,Derrick Henry left tackle for 1 yard (tackle by Malcolm Roach and Payton Turner),-0.070,-0.630
1,0:37,3,9,TEN 24,6,3,Ryan Tannehill scrambles left end for 1 yard (tackle by Demario Davis),-0.630,-1.700
1,0:01,4,8,TEN 25,6,3,"Ryan Stonehouse punts 62 yards, returned by Rashid Shaheed for no gain",-1.700,0.320
Quarter,Time,Down,ToGo,Location,TEN,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NOR 13,6,3,Jamaal Williams left guard for 1 yard (tackle by Teair Tart),-0.320,-0.680
2,14:27,2,9,NOR 14,6,3,Derek Carr pass complete short middle to Chris Olave for 17 yards (tackle by Elijah Molden),-0.680,1.000
2,13:50,1,10,NOR 31,6,3,Jamaal Williams right end for 6 yards (tackle by Amani Hooker),1.000,1.270
2,13:15,2,4,NOR 37,6,3,Derek Carr sacked by Arden Key for -6 yards,1.270,-0.230
2,12:38,3,10,NOR 31,6,3,Derek Carr pass complete short middle to Juwan Johnson for 5 yards (tackle by Azeez Al-Shaair),-0.230,-0.980
2,11:55,4,5,NOR 36,6,3,"Lou Hedley punts 52 yards, returned by Kearis Jackson for 11 yards (tackle by Taysom Hill and D'Marco Jackson)",-0.980,-0.480
2,11:44,1,10,TEN 23,6,3,Derrick Henry left end for 3 yards (tackle by Demario Davis),0.480,0.340
2,11:01,2,7,TEN 26,6,3,Derrick Henry right tackle for 1 yard (tackle by Pete Werner and Cameron Jordan),0.340,-0.230
2,10:18,3,6,TEN 27,6,3,Ryan Tannehill pass incomplete short right intended for Nick Westbrook-Ikhine (defended by Alontae Taylor),-0.230,-1.570
2,10:10,4,6,TEN 27,6,3,Ryan Stonehouse punts 1 yard,-1.570,-3.710
2,9:54,1,10,TEN 28,6,3,Derek Carr scrambles right tackle for 7 yards (tackle by Jack Gibbens),3.710,4.110
2,9:07,2,3,TEN 21,6,3,Derek Carr pass complete short left to Chris Olave for 2 yards (tackle by Jack Gibbens),4.110,3.720
2,8:35,3,1,TEN 19,6,3,Jamaal Williams left guard for 5 yards (tackle by Jeffery Simmons and Jack Gibbens),3.720,4.650
2,7:59,1,10,TEN 14,6,3,"Derek Carr pass incomplete short right intended for Rashid Shaheed NOR challenged the pass completion ruling, and the play was upheld.",4.650,4.000
2,7:50,2,10,TEN 14,6,3,Derek Carr pass incomplete short left intended for Taysom Hill,4.000,3.110
2,7:45,3,10,TEN 14,6,3,"Derek Carr pass incomplete short middle intended for Michael Thomas (defended by Arden Key) TEN challenged the pass completion ruling, and the play was upheld.",3.110,2.510
2,7:40,4,10,TEN 14,6,6,Blake Grupe 33 yard field goal good,2.510,3.000
2,7:37,,,NOR 35,6,6,"Blake Grupe kicks off 65 yards, touchback.",0.000,0.610
2,7:37,1,10,TEN 25,6,6,Ryan Tannehill pass incomplete deep left intended for DeAndre Hopkins (defended by Marshon Lattimore),0.610,0.060
2,7:32,2,10,TEN 25,6,6,Derrick Henry right tackle for 5 yards (tackle by Demario Davis),0.060,0.040
2,6:48,3,5,TEN 30,6,6,Ryan Tannehill pass deep right intended for DeAndre Hopkins is intercepted by Marshon Lattimore at NO-41 and returned for no gain (tackle by DeAndre Hopkins),0.040,-1.660
2,6:36,1,10,NOR 41,6,6,Jamaal Williams right end for 2 yards (tackle by Elijah Molden),1.660,1.390
2,6:00,2,8,NOR 43,6,6,Derek Carr sacked by and Arden Key for -7 yards and Denico Autry for -7 yards,1.390,-0.230
2,5:17,3,15,NOR 36,6,6,Derek Carr sacked by Jeffery Simmons for -3 yards,-0.230,-1.180
2,4:41,4,18,NOR 33,6,6,"Lou Hedley punts 49 yards, returned by Kearis Jackson for 12 yards (tackle by D'Marco Jackson and Zach Wood)",-1.180,-0.940
2,4:29,1,10,TEN 30,6,6,Ryan Tannehill pass complete short left to Derrick Henry for 46 yards (tackle by Marcus Maye),0.940,3.970
2,3:43,1,10,NOR 24,6,6,Treylon Burks left end for 9 yards (tackle by Marcus Maye),3.970,4.850
2,3:04,2,1,NOR 15,6,6,Derrick Henry left tackle for 2 yards (tackle by Pete Werner and Marcus Maye),4.850,4.710
2,2:19,1,10,NOR 13,6,6,Ryan Tannehill pass incomplete short right intended for DeAndre Hopkins (defended by Cameron Jordan),4.710,4.050
2,2:12,2,10,NOR 13,6,6,"Derrick Henry left end for no gain (tackle by Tyrann Mathieu and Marshon Lattimore). Penalty on Aaron Brewer: Offensive Holding, 10 yards (accepted) (no play)",4.050,2.810
