Unnamed: 0,TEN,NOR
First Downs,16,15
Rush-Yds-TDs,22-104-0,27-69-0
Cmp-Att-Yd-TD-INT,16-34-198-0-3,23-33-305-1-1
Sacked-Yards,3-17,4-23
Net Pass Yards,181,282
Total Yards,285,351
Fumbles-Lost,0-0,2-1
Turnovers,3,2
Penalties-Yards,6-45,7-45
Third Down Conv.,2-12,7-16
Fourth Down Conv.,0-0,0-0
Time of Possession,31:20,28:40
