Unnamed: 0,STL,ARI
First Downs,17,18
Rush-Yds-TDs,25-85-0,22-63-1
Cmp-Att-Yd-TD-INT,22-38-228-1-1,24-33-279-1-1
Sacked-Yards,1-5,1-7
Net Pass Yards,223,272
Total Yards,308,335
Fumbles-Lost,2-2,0-0
Turnovers,3,1
Penalties-Yards,1-5,5-30
Third Down Conv.,5-13,3-9
Fourth Down Conv.,1-3,0-0
Time of Possession,29:27,30:33
