Unnamed: 0,BAL,CIN
First Downs,20,15
Rush-Yds-TDs,27-110-1,20-55-1
Cmp-Att-Yd-TD-INT,19-44-286-0-2,25-42-215-1-0
Sacked-Yards,4-10,2-13
Net Pass Yards,276,202
Total Yards,386,257
Fumbles-Lost,2-2,1-1
Turnovers,4,1
Penalties-Yards,5-22,3-35
Third Down Conv.,6-16,5-15
Fourth Down Conv.,0-2,0-1
Time of Possession,28:41,31:19
