Unnamed: 0,DET,NYJ
First Downs,22,27
Rush-Yds-TDs,22-125-0,42-221-3
Cmp-Att-Yd-TD-INT,22-36-269-3-2,16-22-189-1-1
Sacked-Yards,1-8,2-12
Net Pass Yards,261,177
Total Yards,386,398
Fumbles-Lost,1-0,1-0
Turnovers,2,1
Penalties-Yards,9-60,2-20
Third Down Conv.,4-10,8-12
Fourth Down Conv.,2-2,0-0
Time of Possession,25:46,34:14
