Quarter,Time,Down,ToGo,Location,DET,NYJ,Detail,EPB,EPA
1,2:31,4,10,DET 43,0,14,Nick Harris punts 55 yards. Penalty on Eric Smith: Running Into the Kicker (Declined),-0.520,0.380
1,2:24,1,10,NYJ 2,0,14,Kevan Barlow right tackle for 2 yards (tackle by Marcus Bell),-0.380,-0.630
1,1:41,2,8,NYJ 4,0,14,Kevan Barlow right guard for 5 yards (tackle by Ernie Sims and Marcus Bell),-0.630,-0.600
1,0:59,3,3,NYJ 9,0,14,Chad Pennington pass complete short left to Jerricho Cotchery for 6 yards (tackle by Terrence Holt),-0.600,-0.220
1,0:24,1,10,NYJ 15,0,14,Kevan Barlow right guard for 2 yards (tackle by Marcus Bell),-0.220,-0.440
Quarter,Time,Down,ToGo,Location,DET,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,NYJ 17,0,14,Chad Pennington pass complete short right to Jerricho Cotchery for 10 yards (tackle by Dre' Bly and Marcus Bell),-0.440,0.740
2,14:21,1,10,NYJ 27,0,14,Leon Washington middle for 3 yards (tackle by Cory Redding and Ernie Sims),0.740,0.600
2,13:43,2,7,NYJ 30,0,14,Chad Pennington pass complete short middle to Sean Ryan for 9 yards (tackle by Ernie Sims and Boss Bailey),0.600,1.530
2,13:05,1,10,NYJ 39,0,14,Leon Washington right guard for 2 yards (tackle by Tyoka Jackson),1.530,1.260
2,12:24,2,8,NYJ 41,0,14,Chad Pennington pass complete short right to Jerricho Cotchery for 7 yards (tackle by Jamar Fletcher and Boss Bailey),1.260,1.490
2,11:46,3,1,NYJ 48,0,14,Chad Pennington pass incomplete short left intended for Laveranues Coles (defended by Boss Bailey),1.490,-0.190
2,11:41,4,1,NYJ 48,0,14,"Ben Graham punts 38 yards, fair catch by Az-Zahir Hakim",-0.190,0.280
2,11:33,1,10,DET 14,0,14,Kevin Jones left tackle for 5 yards (tackle by Rashad Moore and Victor Hobson),-0.280,-0.040
2,10:55,2,5,DET 19,0,14,Jon Kitna pass incomplete short left intended for Marcus Pollard,-0.040,-0.800
2,10:49,3,5,DET 19,0,14,Jon Kitna middle for 5 yards (tackle by Jonathan Vilma),-0.800,0.540
2,10:03,1,10,DET 24,0,14,"Penalty on Jeff Backus: False Start, 5 yards (no play)",0.540,0.130
2,9:45,1,15,DET 19,0,14,Kevin Jones left tackle for 24 yards (tackle by Erik Coleman),0.130,1.800
2,9:16,1,10,DET 43,0,14,Jon Kitna pass complete short left to Dan Campbell for 22 yards (tackle by Jonathan Vilma),1.800,3.250
2,8:43,1,10,NYJ 35,0,14,Jon Kitna pass complete short right to Mike Furrey for 13 yards (tackle by Bryan Thomas and Andre Dyson),3.250,4.110
2,8:00,1,10,NYJ 22,6,14,"Jon Kitna pass complete deep middle to Roy Williams for 22 yards, touchdown",4.110,7.000
2,,,,NYJ 2,7,14,Jason Hanson kicks extra point good,0.000,0.000
2,,,,DET 30,7,14,"Jason Hanson kicks off 67 yards, returned by Justin Miller for 56 yards (tackle by Jason Hanson)",0.000,2.850
2,7:44,1,10,DET 41,7,14,Chad Pennington pass complete deep left to Jerricho Cotchery for 23 yards (tackle by Terrence Holt),2.850,4.370
2,7:44,1,10,DET 18,7,14,Kevan Barlow right guard for no gain (tackle by Ernie Sims),4.370,3.800
2,6:39,2,10,DET 18,7,14,Leon Washington right tackle for 8 yards (tackle by Paris Lenon),3.800,4.510
2,6:03,3,2,DET 10,7,14,Leon Washington right end for 7 yards (tackle by Terrence Holt),4.510,6.510
2,5:36,1,3,DET 3,7,14,Chad Pennington pass incomplete short left intended for Jerricho Cotchery,6.510,5.530
2,5:32,2,3,DET 3,7,20,"Kevan Barlow right guard for 3 yards, touchdown",5.530,7.000
2,,,,DET 2,7,21,Mike Nugent kicks extra point good,0.000,0.000
2,,,,NYJ 30,7,21,"Mike Nugent kicks off 70 yards, touchback",0.000,0.280
2,5:28,1,10,DET 20,7,21,"Jon Kitna pass complete short right to Kevin Jones for 6 yards (tackle by Erik Coleman and Jonathan Vilma). Penalty on Dominic Raiola: Offensive Holding, 10 yards",0.280,-0.210
2,5:02,1,14,DET 16,7,21,Brian Calhoun right guard for 4 yards (tackle by Shaun Ellis and Dewayne Robertson),-0.210,-0.270
2,4:26,2,10,DET 20,7,21,Jon Kitna pass incomplete deep middle intended for Devale Ellis is intercepted by Kerry Rhodes at NYJ-44,-0.270,-1.860
2,4:19,1,10,NYJ 44,7,21,Leon Washington middle for 4 yards (tackle by Boss Bailey),1.860,1.860
2,3:38,2,6,NYJ 48,7,21,Leon Washington left end for 11 yards (tackle by Dre' Bly),1.860,2.850
2,3:04,1,10,DET 41,7,21,Leon Washington middle for 3 yards (tackle by Jon McGraw),2.850,2.710
2,2:22,2,7,DET 38,7,21,Chad Pennington pass complete short right to Laveranues Coles for 4 yards (tackle by Dre' Bly),2.710,2.540
2,2:00,3,3,DET 34,7,21,Brad Smith right tackle for 6 yards (tackle by Fernando Bryant),2.540,3.710
2,1:28,1,10,DET 28,7,21,Kevan Barlow left guard for 6 yards (tackle by Ernie Sims),3.710,3.980
2,0:48,2,4,DET 22,7,21,Chad Pennington pass incomplete deep middle intended for Chris Baker is intercepted by Terrence Holt at DET-2,3.980,0.380
2,0:41,1,10,DET 2,7,21,Kevin Jones right tackle for 13 yards (tackle by Erik Coleman),-0.380,-0.220
2,0:13,1,10,DET 15,7,21,Kevin Jones right guard for 5 yards (tackle by Shaun Ellis and Dewayne Robertson),-0.220,0.080
Quarter,Time,Down,ToGo,Location,DET,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 30,7,21,"Mike Nugent kicks off 68 yards, returned by Eddie Drummond for 26 yards (tackle by Kerry Rhodes)",0.000,0.810
3,14:53,1,10,DET 28,7,21,Kevin Jones right tackle for 5 yards (tackle by Victor Hobson and Erik Coleman),0.810,0.940
3,14:12,2,5,DET 33,7,21,Kevin Jones right guard for 1 yard (tackle by Jonathan Vilma),0.940,0.370
3,13:31,3,4,DET 34,7,21,Jon Kitna pass incomplete short right intended for Dan Campbell is intercepted by Jonathan Vilma at DET-37,0.370,-3.120
3,13:23,1,10,DET 37,7,21,Kevan Barlow left tackle for 4 yards (tackle by Boss Bailey and Dre' Bly),3.120,3.110
3,12:54,2,6,DET 33,7,21,Kevan Barlow left guard for 4 yards (tackle by Ernie Sims and Terrence Holt),3.110,2.940
3,12:12,3,2,DET 29,7,21,"Chad Pennington sacked by Kalimba Edwards for -6 yards. Chad Pennington fumbles (forced by Kalimba Edwards), recovered by Chad Pennington at DET-35",2.940,0.970
3,12:12,4,8,DET 35,7,21,"Penalty on Ben Graham: Delay of Game, 5 yards (no play)",0.970,0.590
3,11:16,4,13,DET 40,7,21,Ben Graham punts 30 yards,0.590,0.380
3,11:05,1,10,DET 10,7,21,Kevin Jones left guard for 5 yards (tackle by Dewayne Robertson),-0.380,-0.350
3,10:33,2,5,DET 15,7,21,Kevin Jones right tackle for 7 yards (tackle by Erik Coleman),-0.350,0.410
3,9:58,1,10,DET 22,7,21,Jon Kitna pass complete short middle to Kevin Jones for 26 yards (tackle by Drew Coleman),0.410,2.130
3,9:13,1,10,DET 48,7,21,Brian Calhoun left end for 7 yards (tackle by Justin Miller and Eric Barton),2.130,2.530
3,8:35,2,3,NYJ 45,7,21,Kevin Jones right end for 6 yards (tackle by Bryan Thomas),2.530,2.980
3,8:01,1,10,NYJ 39,7,21,Kevin Jones left guard for 3 yards (tackle by Eric Barton),2.980,2.850
3,7:20,2,7,NYJ 36,7,21,Devale Ellis right end for 12 yards (tackle by Erik Coleman),2.850,3.970
3,6:36,1,10,NYJ 24,7,21,Jon Kitna pass complete short right to Brian Calhoun for 18 yards (tackle by Andre Dyson),3.970,5.830
3,5:56,1,6,NYJ 6,7,21,Jon Kitna pass incomplete short left intended for Az-Zahir Hakim,5.830,4.950
3,5:51,2,6,NYJ 6,7,21,Kevin Jones left tackle for -1 yards (tackle by Erik Coleman),4.950,3.810
3,5:07,3,7,NYJ 7,7,21,Jon Kitna pass incomplete short middle intended for Roy Williams,3.810,2.970
3,5:01,4,7,NYJ 7,10,21,Jason Hanson 25 yard field goal good,2.970,3.000
3,,,,DET 30,10,21,"Jason Hanson kicks off 70 yards, returned by Justin Miller for 23 yards (tackle by Casey Fitzsimmons)",0.000,0.480
3,4:51,1,10,NYJ 23,10,21,"Leon Washington left end for 1 yard (tackle by Ernie Sims and Marcus Bell). Penalty on Daniel Bullocks: Face Mask (15 Yards), 15 yards",0.480,1.530
3,4:29,1,10,NYJ 39,10,21,Chad Pennington pass complete short left to Leon Washington for 8 yards (tackle by Paris Lenon and Marcus Bell),1.530,2.070
3,4:01,2,2,NYJ 47,10,21,Leon Washington left tackle for 1 yard (tackle by Terrence Holt and Marcus Bell),2.070,1.490
3,3:32,3,1,NYJ 48,10,21,Kevan Barlow right guard for 5 yards (tackle by Ernie Sims and Marcus Bell),1.490,2.460
3,2:48,1,10,DET 47,10,21,Chad Pennington sacked by Cory Redding and Terrence Holt for -6 yards,2.460,1.100
3,2:12,2,16,NYJ 47,10,21,Chad Pennington pass complete short right to Laveranues Coles for 15 yards (tackle by Dre' Bly),1.100,2.410
3,2:01,3,1,DET 38,10,21,Chad Pennington middle for 2 yards (tackle by Jared DeVries),2.410,3.180
3,1:38,1,10,DET 36,10,21,"Leon Washington right guard for 12 yards (tackle by Ernie Sims). Penalty on Chris Baker: Personal Foul, 15 yards",3.180,2.980
3,1:16,1,10,DET 39,10,21,Laveranues Coles left end for 15 yards (tackle by Daniel Bullocks),2.980,3.970
3,0:47,1,10,DET 24,10,21,Leon Washington left guard for 7 yards (tackle by Terrence Holt),3.970,4.460
3,0:19,2,3,DET 17,10,21,Leon Washington right tackle for -3 yards (tackle by James Hall and Dre' Bly),4.460,3.270
Quarter,Time,Down,ToGo,Location,DET,NYJ,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,6,DET 20,10,21,Chad Pennington pass complete short left to Laveranues Coles for 5 yards (tackle by Paris Lenon),3.270,2.590
4,14:25,,,,10,21,Timeout #1 by Detroit Lions,0.000,2.590
4,14:25,4,1,DET 15,10,24,Mike Nugent 33 yard field goal good,2.590,3.000
4,,,,NYJ 30,10,24,"Mike Nugent kicks off 66 yards, returned by Eddie Drummond for 17 yards (tackle by Cody Spencer)",0.000,0.340
4,14:12,1,10,DET 21,10,24,Jon Kitna pass complete deep middle to Mike Furrey for 19 yards (tackle by Andre Dyson),0.340,1.600
4,13:58,1,10,DET 40,10,24,Jon Kitna pass complete short right to Kevin Jones for 2 yards (tackle by Eric Smith and Hank Poteat),1.600,1.320
4,13:20,2,8,DET 42,10,24,Jon Kitna right tackle for 5 yards (tackle by Dewayne Robertson),1.320,1.290
4,12:41,3,3,DET 47,10,24,Jon Kitna pass complete short right to Roy Williams for 7 yards (tackle by Jonathan Vilma and Drew Coleman),1.290,2.520
4,12:08,1,10,NYJ 46,10,24,Jon Kitna pass incomplete deep left intended for Mike Furrey,2.520,1.980
4,11:58,2,10,NYJ 46,10,24,Jon Kitna pass complete short left to Mike Furrey for 5 yards (tackle by Victor Hobson),1.980,1.950
4,11:17,3,5,NYJ 41,10,24,Jon Kitna pass complete short right to Mike Furrey for 16 yards (tackle by Erik Coleman),1.950,3.910
4,10:38,1,10,NYJ 25,10,24,Jon Kitna pass incomplete short left intended for Roy Williams,3.910,3.360
4,10:32,2,10,NYJ 25,10,24,"Brian Calhoun right guard for -1 yards (tackle by Dewayne Robertson). Brian Calhoun fumbles (forced by Dewayne Robertson), recovered by Brian Calhoun at NYJ-26",3.360,2.540
4,9:49,3,11,NYJ 26,10,24,Jon Kitna pass incomplete short left intended for Mike Furrey,2.540,1.740
4,9:44,4,11,NYJ 26,10,24,Jon Kitna pass complete short right to Mike Furrey for 17 yards (tackle by Hank Poteat),1.740,5.140
4,9:15,1,9,NYJ 9,16,24,"Jon Kitna pass complete short middle to Kevin Jones for 9 yards, touchdown",5.140,7.000
4,,,,NYJ 2,17,24,Jason Hanson kicks extra point good,0.000,0.000
4,,,,DET 30,17,24,"Jason Hanson kicks off 49 yards, returned by James Hodgins for 17 yards (tackle by LeVar Woods)",0.000,1.470
4,9:04,1,10,NYJ 38,17,24,Chad Pennington pass complete short right to Jerricho Cotchery for 1 yard (tackle by Daniel Bullocks),1.470,1.060
4,8:21,2,9,NYJ 39,17,24,Leon Washington right guard for 5 yards (tackle by Daniel Bullocks and Fernando Bryant),1.060,1.020
4,7:37,3,4,NYJ 44,17,24,Chad Pennington pass complete short left to Laveranues Coles for 5 yards (tackle by Dre' Bly and Terrence Holt),1.020,2.190
4,7:09,1,10,NYJ 49,17,24,Leon Washington right guard for 2 yards (tackle by Jared DeVries),2.190,1.920
4,6:30,2,8,DET 49,17,24,Jerricho Cotchery right end for 10 yards (tackle by Boss Bailey),1.920,2.980
4,5:49,1,10,DET 39,17,24,Chad Pennington pass complete short middle to Chris Baker for 16 yards (tackle by Daniel Bullocks),2.980,4.040
4,5:03,1,10,DET 23,17,24,"Brad Smith right tackle for 2 yards (tackle by Daniel Bullocks and Marcus Bell). Penalty on Tyoka Jackson: Defensive Holding, 5 yards",4.040,4.510
4,4:58,1,10,DET 16,17,30,"Leon Washington left end for 16 yards, touchdown",4.510,7.000
4,,,,DET 2,17,31,Mike Nugent kicks extra point good,0.000,0.000
4,,,,NYJ 30,17,31,"Mike Nugent kicks off 53 yards, returned by Eddie Drummond for 16 yards (tackle by Rashad Washington)",0.000,1.140
4,4:46,1,10,DET 33,17,31,"Penalty on Jeff Backus: False Start, 5 yards (no play)",1.140,0.810
4,4:46,1,15,DET 28,17,31,Jon Kitna pass complete short middle to Kevin Jones for 8 yards (tackle by Bryan Thomas),0.810,1.000
4,4:25,2,7,DET 36,17,31,Jon Kitna pass complete deep right to Devale Ellis for 19 yards (tackle by Erik Coleman and Jonathan Vilma),1.000,2.590
4,4:05,1,10,NYJ 45,17,31,Jon Kitna pass complete short left to Az-Zahir Hakim for 6 yards (tackle by Justin Miller),2.590,2.850
4,3:43,2,4,NYJ 39,17,31,Jon Kitna pass incomplete deep left intended for Az-Zahir Hakim,2.850,2.150
4,3:40,3,4,NYJ 39,17,31,Jon Kitna pass incomplete short middle intended for Mike Furrey (defended by Jonathan Vilma),2.150,0.660
4,3:34,4,4,NYJ 39,17,31,Jon Kitna pass complete short left to Mike Furrey for 7 yards (tackle by Justin Miller),0.660,3.450
4,3:26,1,10,NYJ 32,17,31,Jon Kitna left end for 7 yards (tackle by Jonathan Vilma and Victor Hobson),3.450,3.850
4,3:14,,,,17,31,Timeout #2 by Detroit Lions,0.000,3.850
4,3:12,2,3,NYJ 25,17,31,Jon Kitna pass complete short left to Mike Furrey for 4 yards (tackle by Jonathan Vilma),3.850,4.170
4,2:50,1,10,NYJ 21,17,31,Kevin Jones right guard for 3 yards (tackle by Ryan Riddle),4.170,4.040
4,2:36,2,7,NYJ 18,17,31,Jon Kitna pass incomplete short right intended for Mike Furrey (defended by Andre Dyson),4.040,3.310
4,2:32,3,7,NYJ 18,23,31,"Jon Kitna pass complete deep right to Mike Furrey for 18 yards, touchdown",3.310,7.000
,,,,,,,"NYJ challenged the ruling, and the play was upheld.",,
4,,,,NYJ 2,24,31,Jason Hanson kicks extra point good,0.000,0.000
4,,,,DET 30,24,31,"Jason Hanson kicks off 39 yards, returned by Kerry Rhodes for no gain. Penalty on Dre' Bly: Offside on Free Kick, 5 yards",0.000,1.330
4,2:22,1,10,NYJ 36,24,31,Leon Washington right guard for 5 yards (tackle by Boss Bailey and Keith Smith),1.330,1.470
4,2:15,,,,24,31,Timeout #3 by Detroit Lions,0.000,1.470
4,2:14,2,5,NYJ 41,24,31,Leon Washington right tackle for 9 yards (tackle by Terrence Holt),1.470,2.260
4,2:00,1,10,,24,31,Chad Pennington kneels for -1 yards (tackle by Kalimba Edwards),2.260,1.580
4,1:18,2,11,NYJ 49,24,31,Chad Pennington kneels for -1 yards,1.580,0.760
4,0:37,3,12,NYJ 48,24,31,Chad Pennington kneels for -2 yards,0.760,-0.320
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
