Quarter,Time,Tm,Detail,HOU,JAX
1.0,10:22,Texans,Ka'imi Fairbairn 44 yard field goal,3,0
,2:39,Texans,Ka'imi Fairbairn 48 yard field goal,6,0
2.0,5:31,Texans,Lamar Miller 5 yard rush (Ka'imi Fairbairn kick),13,0
3.0,10:50,Texans,DeAndre Hopkins 10 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),20,0
,2:18,Jaguars,T.J. Yeldon 6 yard pass from Cody Kessler (Josh Lambo kick),20,7
