Quarter,Time,Down,ToGo,Location,HOU,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,JAX 25,0,0,T.J. Yeldon right end for 5 yards (tackle by Tyrann Mathieu),0.610,0.740
1,14:31,2,5,JAX 30,0,0,T.J. Yeldon up the middle for 1 yard (tackle by Zach Cunningham),0.740,0.170
1,13:49,3,4,JAX 31,0,0,"Blake Bortles up the middle for 3 yards (tackle by Whitney Mercilus). Blake Bortles fumbles (forced by Whitney Mercilus), recovered by Jadeveon Clowney at JAC-36 (tackle by Dede Westbrook)",0.170,-3.180
1,13:37,1,10,JAX 36,0,0,Deshaun Watson pass complete short right to Will Fuller for 5 yards (tackle by A.J. Bouye),3.180,3.310
1,13:04,2,5,JAX 31,0,0,Lamar Miller up the middle for 3 yards (tackle by Myles Jack),3.310,3.010
1,13:04,,,,,,Timeout #1 by Jacksonville Jaguars,,
1,12:33,3,2,JAX 28,0,0,Deshaun Watson right end for 4 yards,3.010,3.970
1,11:56,1,10,JAX 24,0,0,Deshaun Watson pass incomplete short right intended for Keke Coutee,3.970,3.430
1,11:49,2,10,JAX 24,0,0,Lamar Miller up the middle for 6 yards (tackle by Calais Campbell),3.430,3.570
1,11:08,3,4,JAX 18,0,0,Deshaun Watson sacked by Dante Fowler for -8 yards,3.570,1.740
1,10:27,4,12,JAX 26,3,0,Ka'imi Fairbairn 44 yard field goal good,1.740,3.000
1,10:22,,,HOU 35,3,0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,10:22,1,10,JAX 25,3,0,T.J. Yeldon up the middle for 2 yards (tackle by Whitney Mercilus),0.610,0.330
1,9:49,2,8,JAX 27,3,0,T.J. Yeldon up the middle for 6 yards (tackle by Benardrick McKinney),0.330,0.430
1,9:08,3,2,JAX 33,3,0,Blake Bortles pass complete short right to Donte Moncrief for 24 yards (tackle by Johnathan Joseph),0.430,2.720
1,8:40,1,10,HOU 43,3,0,Jamaal Charles up the middle for 2 yards (tackle by Jadeveon Clowney),2.720,2.450
1,8:07,2,8,HOU 41,3,0,Blake Bortles pass complete short right to T.J. Yeldon for 4 yards (tackle by Zach Cunningham),2.450,2.280
1,7:36,3,4,HOU 37,3,0,Blake Bortles pass incomplete short middle intended for Keelan Cole,2.280,0.790
1,7:32,4,4,HOU 37,3,0,"Logan Cooke punts 37 yards, touchback.",0.790,-0.280
1,7:25,1,10,HOU 20,3,0,Deshaun Watson right end for 3 yards (tackle by Myles Jack),0.280,0.140
1,6:51,2,7,HOU 23,3,0,Lamar Miller left end for 2 yards (tackle by Abry Jones),0.140,-0.300
1,6:06,3,5,HOU 25,3,0,Deshaun Watson pass complete deep left to DeAndre Hopkins for 31 yards,-0.300,2.650
1,5:37,1,10,JAX 44,3,0,Lamar Miller up the middle for 7 yards (tackle by Tashaun Gipson),2.650,3.060
1,5:11,2,3,JAX 37,3,0,Lamar Miller up the middle for 3 yards (tackle by Tashaun Gipson),3.060,3.310
1,4:43,1,10,JAX 34,3,0,"Deshaun Watson pass complete short right to Will Fuller for 20 yards (tackle by Barry Church). Penalty on Will Fuller: Offensive Pass Interference, 10 yards (no play)",3.310,2.650
1,4:13,1,20,JAX 44,3,0,Deshaun Watson pass incomplete short middle intended for Jordan Thomas,2.650,1.420
1,4:08,2,20,JAX 44,3,0,Deshaun Watson pass complete short left to Lamar Miller for -1 yards (tackle by Ronnie Harrison),1.420,0.630
