Unnamed: 0,HOU,JAX
First Downs,15,15
Rush-Yds-TDs,37-141-1,22-70-0
Cmp-Att-Yd-TD-INT,12-24-139-1-0,27-42-217-1-1
Sacked-Yards,1-8,4-28
Net Pass Yards,131,189
Total Yards,272,259
Fumbles-Lost,2-0,3-2
Turnovers,0,3
Penalties-Yards,6-35,2-15
Third Down Conv.,8-16,9-19
Fourth Down Conv.,0-0,0-1
Time of Possession,29:35,30:25
