Unnamed: 0,DAL,NYG
First Downs,21,18
Rush-Yds-TDs,31-147-1,25-98-1
Cmp-Att-Yd-TD-INT,23-31-231-1-1,18-27-144-3-1
Sacked-Yards,3-11,1-7
Net Pass Yards,220,137
Total Yards,367,235
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,6-93,3-25
Third Down Conv.,6-13,5-11
Fourth Down Conv.,2-2,0-0
Time of Possession,33:28,26:32
