Quarter,Time,Down,ToGo,Location,DAL,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Steve Christie kicks off 63 yards, returned by Terrance Copper for 19 yards (tackle by Mike Cloud)",0.000,0.670
1,14:54,1,10,DAL 26,0,0,Julius Jones right tackle for 3 yards (tackle by Will Allen),0.670,0.540
1,14:19,2,7,DAL 29,0,0,Vinny Testaverde pass incomplete intended for Darian Barnes,0.540,-0.160
1,14:10,3,7,DAL 29,0,0,Vinny Testaverde sacked by Damane Duckett for -6 yards,-0.160,-1.830
1,13:53,4,13,DAL 23,0,0,"Mat McBriar punts 58 yards, returned by Ike Hilliard for 15 yards (tackle by Lynn Scott)",-1.830,-1.200
1,13:32,1,10,NYG 34,0,0,"Tiki Barber left end for 1 yard (tackle by Marcellus Wiley). Penalty on Scott Shanle: Face Mask (5 Yards), 5 yards",1.200,2.080
1,13:09,1,4,NYG 40,0,0,Eli Manning pass incomplete intended for David Tyree,2.080,1.470
1,13:02,2,4,NYG 40,0,0,Tiki Barber left end for 3 yards (tackle by Dat Nguyen),1.470,1.160
1,12:26,3,1,NYG 43,0,0,Tiki Barber left tackle for no gain (tackle by Dat Nguyen and Lynn Scott),1.160,-0.520
1,11:45,4,1,NYG 43,0,0,"Jeff Feagles punts 33 yards, fair catch by Lance Frazier",-0.520,-0.540
1,11:32,1,10,DAL 24,0,0,Vinny Testaverde pass complete to Julius Jones for 37 yards (tackle by Brent Alexander),0.540,2.980
1,11:05,1,10,NYG 39,0,0,Julius Jones left guard for -3 yards (tackle by Osi Umenyiora),2.980,2.040
1,10:25,2,13,NYG 42,0,0,"Penalty on Flozell Adams: False Start, 5 yards (no play)",2.040,1.360
1,10:08,2,18,NYG 47,0,0,Vinny Testaverde pass complete to Julius Jones for no gain,1.360,0.700
1,9:26,3,18,NYG 47,0,0,Vinny Testaverde pass complete to Jason Witten for 10 yards (tackle by Carlos Emmons),0.700,0.790
1,8:47,4,8,NYG 37,0,0,Billy Cundiff punts 34 yards,0.790,0.380
1,8:33,1,10,NYG 3,0,0,Tiki Barber left end for 1 yard (tackle by Leonardo Carson and Greg Ellis),-0.380,-0.710
1,7:59,2,9,NYG 4,0,0,Eli Manning pass complete to Marcellus Rivers for 6 yards (tackle by Roy Williams),-0.710,-0.600
1,7:15,3,3,NYG 10,0,0,Eli Manning sacked by Marcellus Wiley for -7 yards,-0.600,-2.490
1,6:38,4,10,NYG 3,0,0,"Jeff Feagles punts 49 yards, returned by Lance Frazier for 11 yards (tackle by Reggie Torbor)",-2.490,-2.850
1,6:23,1,10,NYG 41,0,0,Julius Jones left tackle for 4 yards (tackle by Will Allen and Osi Umenyiora),2.850,2.850
1,5:52,2,6,NYG 37,0,0,Julius Jones right end for 9 yards (tackle by Curry Burns),2.850,3.710
1,5:17,1,10,NYG 28,0,0,Vinny Testaverde pass incomplete intended for Jason Witten (defended by Will Allen),3.710,3.170
1,5:05,2,10,NYG 28,0,0,Julius Jones up the middle for 6 yards (tackle by Curry Burns and Osi Umenyiora),3.170,3.270
1,4:29,3,4,NYG 22,0,0,Vinny Testaverde pass incomplete intended for Keyshawn Johnson (defended by Will Allen),3.270,2.070
1,4:20,4,4,NYG 22,3,0,Billy Cundiff 40 yard field goal good,2.070,3.000
1,,,,DAL 30,3,0,"Billy Cundiff kicks off 56 yards, returned by Willie Ponder for 9 yards (tackle by Ryan Fowler)",0.000,0.480
1,4:10,1,10,NYG 23,3,0,Eli Manning pass incomplete intended for David Tyree (defended by Lynn Scott),0.480,-0.070
1,4:02,2,10,NYG 23,3,0,"Tiki Barber left tackle for 4 yards (tackle by Marcellus Wiley). Penalty on Marcellus Wiley: Face Mask (15 Yards), 15 yards",-0.070,1.730
1,3:39,1,10,NYG 42,3,0,Tiki Barber left end for 6 yards (tackle by Leonardo Carson),1.730,2.000
1,3:07,2,4,NYG 48,3,0,Eli Manning pass complete to David Tyree for 6 yards (tackle by Lance Frazier),2.000,2.520
1,2:32,1,10,DAL 46,3,0,Eli Manning pass incomplete intended for Visanthe Shiancoe,2.520,1.980
1,2:19,2,10,DAL 46,3,0,Eli Manning pass complete to David Tyree for 11 yards (tackle by Lance Frazier),1.980,3.250
1,1:40,1,10,DAL 35,3,0,Tiki Barber right tackle for no gain (tackle by Greg Ellis and Scott Shanle),3.250,2.700
1,1:02,2,10,DAL 35,3,0,Eli Manning pass complete to David Tyree for 9 yards (tackle by Scott Shanle),2.700,3.200
1,0:20,3,1,DAL 26,3,0,Tiki Barber left end for 11 yards (tackle by Lynn Scott),3.200,4.580
Quarter,Time,Down,ToGo,Location,DAL,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 15,3,0,Eli Manning pass complete to David Tyree for 9 yards (tackle by Lance Frazier),4.580,5.600
2,14:22,2,1,DAL 6,3,0,Tiki Barber right guard for 3 yards (tackle by Roy Williams),5.600,6.510
2,13:46,1,3,DAL 3,3,0,Eli Manning pass incomplete intended for David Tyree,6.510,5.530
2,13:37,2,3,DAL 3,3,0,Tiki Barber left tackle for 1 yard (tackle by Dat Nguyen and Greg Ellis),5.530,4.950
2,13:00,3,2,DAL 2,3,6,"Eli Manning pass complete to Visanthe Shiancoe for 2 yards, touchdown",4.950,7.000
2,,,,DAL 2,3,7,"Steve Christie kicks extra point good. Penalty on Reggie Torbor: Offensive Holding, 10 yards (no play)",0.000,0.000
2,,,,DAL 2,3,7,Steve Christie kicks extra point good,0.000,0.000
2,,,,NYG 30,3,7,"Steve Christie kicks off 53 yards, returned by Terrance Copper for 21 yards (tackle by Curtis DeLoatch)",0.000,1.470
2,12:41,1,10,DAL 38,3,7,Vinny Testaverde pass complete to Julius Jones for 4 yards (tackle by Carlos Emmons),1.470,1.460
2,12:07,2,6,DAL 42,3,7,Julius Jones left end for 7 yards (tackle by Will Allen),1.460,2.190
2,11:41,1,10,DAL 49,3,7,Vinny Testaverde pass complete to Quincy Morgan for 11 yards,2.190,2.920
2,11:06,1,10,NYG 40,3,7,Vinny Testaverde pass complete to Keyshawn Johnson for 18 yards (tackle by Curry Burns),2.920,4.110
2,10:41,1,10,NYG 22,3,7,Patrick Crayton pass incomplete intended for Jason Witten is intercepted by Curry Burns at NYG-0 and returned for 12 yards (tackle by Jason Witten),4.110,0.350
2,10:25,1,10,NYG 12,3,7,Tiki Barber left tackle for 9 yards (tackle by Dat Nguyen and Roy Williams),-0.350,0.420
2,9:49,2,1,NYG 21,3,7,Ron Dayne left guard for 3 yards (tackle by Eric Ogbogu and Leonardo Carson),0.420,0.540
2,9:11,1,10,NYG 24,3,7,Eli Manning pass incomplete intended for Ike Hilliard,0.540,0.000
2,8:55,2,10,NYG 24,3,7,Eli Manning pass complete to Tiki Barber for -5 yards (tackle by Dexter Coakley),0.000,-1.430
