Quarter,Time,Down,ToGo,Location,LVR,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 65 yards, touchback.",,
1,15:00,1,10,LVR 25,0,0,Derek Carr pass complete short right to Henry Ruggs for 9 yards (tackle by Patrick Surtain),,
1,14:30,2,1,LVR 34,0,0,Josh Jacobs left tackle for 1 yard (tackle by Justin Strnad),,
1,13:59,1,10,LVR 35,0,0,Josh Jacobs right guard for 4 yards (tackle by Alexander Johnson),,
1,13:27,2,6,LVR 39,0,0,"Derek Carr pass incomplete deep right intended for Henry Ruggs. Penalty on Patrick Surtain: Illegal Contact, 5 yards (accepted) (no play)",,
1,13:18,1,10,LVR 44,0,0,Kenyan Drake right tackle for 6 yards (tackle by Malik Reed),,
1,12:40,2,4,LVR 50,0,0,Josh Jacobs right tackle for 2 yards (tackle by Alexander Johnson and Shamar Stephen),,
1,12:02,3,2,DEN 48,6,0,"Derek Carr pass complete deep middle to Henry Ruggs for 48 yards, touchdown",,
1,11:54,,,DEN 15,7,0,Daniel Carlson kicks extra point good,,
1,11:54,,,LVR 35,7,0,"Daniel Carlson kicks off 62 yards, returned by Diontae Spencer for 13 yards (tackle by Dallin Leavitt)",,
1,11:46,1,10,DEN 16,7,0,Teddy Bridgewater pass complete short right to Tim Patrick for 7 yards (tackle by Amik Robertson),,
1,11:16,2,3,DEN 23,7,0,Melvin Gordon up the middle for 10 yards (tackle by Trevon Moehrig),,
1,10:38,1,10,DEN 33,7,0,Melvin Gordon right guard for 1 yard (tackle by K.J. Wright and Quinton Jefferson),,
1,9:54,2,9,DEN 34,7,0,Teddy Bridgewater sacked by and Maxx Crosby for -3 yards and Damion Square for -3 yards,,
1,9:07,3,12,DEN 31,7,0,Teddy Bridgewater pass complete short right to Courtland Sutton for 14 yards (tackle by Amik Robertson),,
1,8:23,1,10,DEN 45,7,0,"Teddy Bridgewater pass incomplete deep left intended for Kendall Hinton. Penalty on Cory Littleton: Defensive Pass Interference, 20 yards (accepted) (no play)",,
1,8:15,1,10,LVR 35,7,0,Melvin Gordon left guard for 9 yards (tackle by Johnathan Abram and Amik Robertson),,
1,7:35,2,1,LVR 26,7,0,Melvin Gordon up the middle for 3 yards (tackle by K.J. Wright and Denzel Perryman),,
1,6:57,1,10,LVR 23,7,6,"Teddy Bridgewater pass complete short right to Tim Patrick for 23 yards, touchdown",,
1,6:49,,,LVR 15,7,7,Brandon McManus kicks extra point good,,
1,6:49,,,DEN 35,7,7,"Brandon McManus kicks off 65 yards, touchback.",,
1,6:49,1,10,LVR 25,7,7,Derek Carr pass complete short right to Darren Waller for 2 yards (tackle by Bryce Callahan),,
1,6:10,2,8,LVR 27,7,7,Josh Jacobs right end for 6 yards (tackle by Shelby Harris and Alexander Johnson),,
1,5:25,3,2,LVR 33,7,7,Derek Carr pass complete short left to Jalen Richard for 3 yards (tackle by Justin Strnad),,
1,4:46,1,10,LVR 36,7,7,Derek Carr pass complete short middle to Hunter Renfrow for 25 yards (tackle by Kareem Jackson),,
1,4:03,1,10,DEN 39,7,7,Josh Jacobs left guard for 4 yards (tackle by Shamar Stephen and Mike Purcell),,
1,3:27,2,6,DEN 35,7,7,Josh Jacobs left guard for 3 yards (tackle by Mike Purcell),,
1,2:50,,,,,,Timeout #1 by Denver Broncos,,
1,2:50,3,3,DEN 32,7,7,Derek Carr pass incomplete short right,,
1,2:45,4,3,DEN 32,10,7,Daniel Carlson 50 yard field goal good,,
1,2:40,,,LVR 35,10,7,"Daniel Carlson kicks off 65 yards, returned by Diontae Spencer for 18 yards (tackle by Dallin Leavitt)",,
1,2:35,1,10,DEN 18,10,7,Javonte Williams left end for 11 yards (tackle by Denzel Perryman),,
1,1:53,1,10,DEN 29,10,7,Javonte Williams up the middle for 3 yards (tackle by Casey Hayward),,
1,1:23,2,7,DEN 32,10,7,Teddy Bridgewater pass incomplete deep right intended for Courtland Sutton,,
1,1:16,3,7,DEN 32,10,7,Teddy Bridgewater pass complete short left to Noah Fant for 5 yards (tackle by Roderic Teamer),,
1,0:31,4,2,DEN 37,10,7,Teddy Bridgewater pass short left intended for Eric Saubert is intercepted by Brandon Facyson at DEN-49 and returned for no gain (tackle by Noah Fant),,
1,0:24,1,10,DEN 49,10,7,Derek Carr pass complete short left to Foster Moreau for 11 yards (tackle by Justin Simmons and Kareem Jackson),,
1,0:02,1,10,DEN 38,10,7,"Penalty on Von Miller: Defensive Offside, 5 yards (accepted) (no play)",,
Quarter,Time,Down,ToGo,Location,LVR,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,5,DEN 33,10,7,Kenyan Drake left tackle for 9 yards (tackle by Kareem Jackson and Ronald Darby),,
2,14:27,1,10,DEN 24,10,7,Derek Carr sacked by Kareem Jackson for no gain,,
2,13:54,2,10,DEN 24,10,7,Derek Carr pass incomplete short left intended for Hunter Renfrow,,
2,13:49,3,10,DEN 24,10,7,Derek Carr sacked by Bryce Callahan for -1 yards,,
2,13:15,4,11,DEN 25,10,7,Daniel Carlson 43 yard field goal no good,,
