Quarter,Time,Tm,Detail,LVR,DEN
1.0,11:54,Raiders,Henry Ruggs III 48 yard pass from Derek Carr (Daniel Carlson kick),7,0
,6:49,Broncos,Tim Patrick 23 yard pass from Teddy Bridgewater (Brandon McManus kick),7,7
,2:40,Raiders,Daniel Carlson 50 yard field goal,10,7
2.0,0:30,Raiders,Kenyan Drake 31 yard pass from Derek Carr (Daniel Carlson kick),17,7
3.0,11:27,Raiders,Kenyan Drake 18 yard rush (Daniel Carlson kick),24,7
,6:38,Broncos,Brandon McManus 32 yard field goal,24,10
,0:07,Raiders,Josh Jacobs 3 yard rush (Daniel Carlson kick),31,10
4.0,11:16,Broncos,Courtland Sutton 12 yard pass from Teddy Bridgewater (Brandon McManus kick),31,17
,7:57,Raiders,Daniel Carlson 30 yard field goal,34,17
,1:12,Broncos,Noah Fant 4 yard pass from Teddy Bridgewater (Brandon McManus kick),34,24
