Unnamed: 0,LVR,DEN
First Downs,16,25
Rush-Yds-TDs,23-86-2,23-112-0
Cmp-Att-Yd-TD-INT,18-27-341-2-0,35-49-334-3-3
Sacked-Yards,2-1,5-25
Net Pass Yards,340,309
Total Yards,426,421
Fumbles-Lost,1-0,1-1
Turnovers,0,4
Penalties-Yards,6-54,6-53
Third Down Conv.,4-11,5-14
Fourth Down Conv.,0-0,1-3
Time of Possession,25:27,34:33
