Quarter,Time,Tm,Detail,LVR,NWE
1.0,0:18,Raiders,Daniel Carlson 29 yard field goal,3,0
2.0,12:32,Patriots,Nick Folk 33 yard field goal,3,3
,7:56,Patriots,Nick Folk 23 yard field goal,3,6
,0:34,Patriots,Rex Burkhead 11 yard pass from Cam Newton (Nick Folk kick),3,13
,0:06,Raiders,Foster Moreau 1 yard pass from Derek Carr (Daniel Carlson kick),10,13
3.0,6:41,Patriots,Rex Burkhead 5 yard rush (Nick Folk kick),10,20
,1:28,Patriots,Nick Folk 32 yard field goal,10,23
4.0,11:22,Raiders,Daniel Carlson 25 yard field goal,13,23
,5:17,Patriots,Rex Burkhead 2 yard rush (Nick Folk kick failed),13,29
,5:09,Patriots,Deatrich Wise Jr. fumble recovery in end zone (Nick Folk kick),13,36
,1:54,Raiders,Hunter Renfrow 13 yard pass from Derek Carr (Daniel Carlson kick),20,36
