Unnamed: 0,LVR,NWE
First Downs,22,25
Rush-Yds-TDs,22-126-0,38-250-2
Cmp-Att-Yd-TD-INT,24-32-261-2-0,17-28-162-1-1
Sacked-Yards,2-12,2-6
Net Pass Yards,249,156
Total Yards,375,406
Fumbles-Lost,3-3,0-0
Turnovers,3,1
Penalties-Yards,6-40,2-33
Third Down Conv.,3-9,3-11
Fourth Down Conv.,0-0,0-0
Time of Possession,25:21,34:39
