Quarter,Time,Down,ToGo,Location,LVR,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,LVR 35,0,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NWE 25,0,0,Sony Michel right guard for 4 yards (tackle by Cory Littleton and Raekwon McMillan),0.610,0.600
1,14:26,2,6,NWE 29,0,0,Sony Michel left tackle for no gain (tackle by Clelin Ferrell),0.600,-0.100
1,13:41,3,6,NWE 29,0,0,Cam Newton pass incomplete short middle intended for Julian Edelman (defended by Trayvon Mullen),-0.100,-1.440
1,13:37,4,6,NWE 29,0,0,"Jake Bailey punts 41 yards, fair catch by Hunter Renfrow at LV-30",-1.440,-0.940
1,13:30,1,10,LVR 30,0,0,Josh Jacobs right guard for 12 yards (tackle by Jason McCourty and Adrian Phillips),0.940,1.730
1,12:57,1,10,LVR 42,0,0,Derek Carr pass incomplete short right intended for Bryan Edwards (defended by Stephon Gilmore),1.730,1.190
1,12:53,2,10,LVR 42,0,0,"Penalty on John Simpson: False Start, 5 yards (no play)",1.190,0.510
1,12:53,2,15,LVR 37,0,0,Josh Jacobs left guard for 6 yards (tackle by Chase Winovich),0.510,0.630
1,12:15,3,9,LVR 43,0,0,Derek Carr pass incomplete deep left intended for Hunter Renfrow,0.630,-0.520
1,12:06,4,9,LVR 43,0,0,"AJ Cole punts 46 yards, returned by J.J. Taylor for 11 yards (tackle by Keisean Nixon)",-0.520,-0.410
1,11:56,1,10,NWE 22,0,0,Cam Newton right guard for 2 yards (tackle by Clelin Ferrell and Johnathan Hankins),0.410,0.140
1,11:10,2,8,NWE 24,0,0,Cam Newton left end for 3 yards (tackle by Johnathan Abram),0.140,-0.160
1,10:26,3,5,NWE 27,0,0,Cam Newton pass complete short left to Rex Burkhead for 3 yards (tackle by Nicholas Morrow),-0.160,-1.370
1,9:47,4,2,NWE 30,0,0,"Penalty on Maxx Crosby: Defensive Offside, 5 yards (no play)",-1.370,1.270
1,9:31,1,10,NWE 35,0,0,Julian Edelman right end for -1 yards (tackle by Maurice Hurst),1.270,0.590
1,9:05,2,11,NWE 34,0,0,Cam Newton pass complete short left to Rex Burkhead for 3 yards (tackle by Maurice Hurst),0.590,0.300
1,8:26,3,8,NWE 37,0,0,Cam Newton sacked by Maxx Crosby for -1 yards,0.300,-0.980
1,7:50,4,9,NWE 36,0,0,"Jake Bailey punts 54 yards, fair catch by Hunter Renfrow at LV-10",-0.980,0.380
1,7:42,1,10,LVR 10,0,0,Josh Jacobs up the middle for 7 yards (tackle by Jonathan Jones and Adrian Phillips),-0.380,-0.090
1,7:06,2,3,LVR 17,0,0,Derek Carr pass complete short middle to Nelson Agholor for 18 yards (tackle by Jonathan Jones),-0.090,1.270
1,6:25,1,10,LVR 35,0,0,Derek Carr pass complete short left to Hunter Renfrow for 22 yards (tackle by Jonathan Jones),1.270,2.720
1,5:51,,,,,,Timeout #1 by New England Patriots,,
1,5:51,1,10,NWE 43,0,0,Josh Jacobs up the middle for 6 yards (tackle by Ja'Whaun Bentley and Deatrich Wise),2.720,2.990
1,5:14,2,4,NWE 37,0,0,Josh Jacobs left end for 6 yards (tackle by Ja'Whaun Bentley),2.990,3.510
1,4:40,1,10,NWE 31,0,0,Derek Carr pass complete short left to Nelson Agholor for 14 yards (tackle by J.C. Jackson),3.510,4.440
1,4:03,1,10,NWE 17,0,0,Devontae Booker up the middle for 5 yards (tackle by Adrian Phillips and Brandon Copeland),4.440,4.690
1,3:20,2,5,NWE 12,0,0,"Josh Jacobs left tackle for -1 yards (tackle by Shilique Calhoun). Josh Jacobs fumbles (forced by Shilique Calhoun), recovered by J.C. Jackson at NE-13",4.690,0.320
1,3:09,1,10,NWE 13,0,0,Cam Newton pass complete short right to Sony Michel for 14 yards (tackle by Cory Littleton),-0.320,0.740
