Unnamed: 0,IND,STL
First Downs,24,14
Rush-Yds-TDs,26-156-2,30-155-0
Cmp-Att-Yd-TD-INT,23-34-235-3-0,14-26-140-0-2
Sacked-Yards,0-0,3-23
Net Pass Yards,235,117
Total Yards,391,272
Fumbles-Lost,1-0,0-0
Turnovers,0,2
Penalties-Yards,6-51,5-73
Third Down Conv.,8-12,4-13
Fourth Down Conv.,0-0,0-2
Time of Possession,30:39,29:21
