Quarter,Time,Down,ToGo,Location,IND,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Josh Brown kicks off 69 yards, returned by Chad Simpson for 19 yards (tackle by Craig Dahl). Penalty on Philip Wheeler: Offensive Holding, 10 yards",0.000,-0.380
1,14:54,1,10,IND 10,0,0,Peyton Manning pass complete short left to Reggie Wayne for 14 yards (tackle by O.J. Atogwe),-0.380,0.540
1,14:37,1,10,IND 24,0,0,Joseph Addai left end for -5 yards (tackle by Craig Dahl),0.540,-0.740
1,13:57,2,15,IND 19,0,0,Peyton Manning pass complete deep middle to Gijon Robinson for 19 yards (tackle by O.J. Atogwe),-0.740,1.470
1,13:18,1,10,IND 38,0,0,Joseph Addai right end for 9 yards,1.470,2.140
1,12:32,2,1,IND 47,0,0,Joseph Addai right tackle for no gain,2.140,1.420
1,11:51,3,1,IND 47,0,0,Joseph Addai right tackle for 2 yards (tackle by Chris Long),1.420,2.190
1,11:10,1,10,IND 49,0,0,Peyton Manning pass complete short left to Reggie Wayne for 25 yards (tackle by Craig Dahl),2.190,3.840
1,10:22,1,10,STL 26,0,0,Joseph Addai right end for 4 yards,3.840,3.840
1,9:51,2,6,STL 22,0,0,Peyton Manning pass incomplete deep right intended for Pierre Garcon,3.840,3.140
1,9:45,3,6,STL 22,0,0,Peyton Manning pass complete short middle to Reggie Wayne for 16 yards (tackle by Ronald Bartell),3.140,5.830
1,8:59,1,6,STL 6,0,0,Peyton Manning pass incomplete short right intended for Austin Collie,5.830,4.950
1,8:54,2,6,STL 6,6,0,"Peyton Manning pass complete short middle to Reggie Wayne for 6 yards, touchdown",4.950,7.000
1,,,,STL 2,7,0,Matt Stover kicks extra point good,0.000,0.000
1,,,,IND 30,7,0,"Pat McAfee kicks off 69 yards, returned by Danny Amendola for 18 yards (tackle by Aaron Francisco)",0.000,0.150
1,8:44,1,10,STL 19,7,0,Steven Jackson left guard for 2 yards (tackle by Daniel Muir),0.150,-0.060
1,8:11,2,8,STL 21,7,0,Marc Bulger pass complete short right to Danny Amendola for 13 yards (tackle by Antoine Bethea),-0.060,1.200
1,7:30,1,10,STL 34,7,0,Steven Jackson left guard for 2 yards (tackle by Bob Sanders),1.200,0.930
1,7:01,2,8,STL 36,7,0,Marc Bulger pass complete deep middle to Donnie Avery for 50 yards (tackle by Antoine Bethea),0.930,4.650
1,6:12,1,10,IND 14,7,0,Steven Jackson middle for 2 yards (tackle by Tyjuan Hagler),4.650,4.330
1,5:38,2,8,IND 12,7,0,Marc Bulger pass incomplete short left intended for Tim Carter,4.330,3.430
1,5:34,3,8,IND 12,7,0,Marc Bulger pass incomplete short left intended for Tim Carter,3.430,2.630
1,5:30,4,8,IND 12,7,3,Josh Brown 30 yard field goal good,2.630,3.000
1,,,,STL 30,7,3,"Josh Brown kicks off 73 yards, returned by Chad Simpson for 25 yards (tackle by Craig Dahl)",0.000,0.410
1,5:19,1,10,IND 22,7,3,Peyton Manning pass complete short left to Dallas Clark for 11 yards (tackle by James Laurinaitis),0.410,1.140
1,4:40,1,10,IND 33,7,3,Donald Brown left tackle for 45 yards (tackle by O.J. Atogwe),1.140,4.110
1,4:02,1,10,STL 22,7,3,"Penalty on Peyton Manning: Delay of Game, 5 yards (no play)",4.110,3.780
1,3:39,1,15,STL 27,13,3,"Peyton Manning pass complete deep left to Dallas Clark for 27 yards, touchdown",3.780,7.000
1,,,,STL 2,14,3,Matt Stover kicks extra point good,0.000,0.000
1,,,,IND 30,14,3,"Pat McAfee kicks off 74 yards, returned by Danny Amendola for 25 yards (tackle by Jacob Lacey)",0.000,0.340
1,3:25,1,10,STL 21,14,3,"Marc Bulger pass complete short right to Keenan Burton for 5 yards. Penalty on Antonio Johnson: Defensive Offside, 5 yards (no play)",0.340,1.070
1,3:05,1,5,STL 26,14,3,Steven Jackson left tackle for 2 yards (tackle by Daniel Muir),1.070,0.750
1,2:30,2,3,STL 28,14,3,Steven Jackson right guard for 2 yards (tackle by Gary Brackett and Tyjuan Hagler),0.750,0.300
1,1:53,3,1,STL 30,14,3,Marc Bulger pass complete short right to Danny Amendola for 14 yards (tackle by Kelvin Hayden),0.300,1.860
1,1:28,1,10,STL 44,14,3,Marc Bulger pass incomplete deep middle intended for Mike Karney,1.860,1.320
1,1:23,2,10,STL 44,14,3,"Steven Jackson right tackle for 2 yards. Penalty on Jacob Bell: Offensive Holding, 10 yards (no play)",1.320,-0.030
1,1:01,2,20,STL 34,14,3,Kenneth Darby middle for 11 yards (tackle by Antoine Bethea),-0.030,0.760
1,0:19,3,9,STL 45,14,3,Marc Bulger pass incomplete short right intended for Kenneth Darby,0.760,-0.390
1,0:14,4,9,STL 45,14,3,"Donnie Jones punts 51 yards, returned by Jamie Silva for no gain",-0.390,0.380
1,0:01,1,10,IND 4,14,3,Peyton Manning pass incomplete deep left intended for Reggie Wayne,-0.380,-0.780
Quarter,Time,Down,ToGo,Location,IND,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,IND 4,14,3,Peyton Manning pass incomplete deep middle intended for Dallas Clark (defended by James Butler),-0.780,-1.420
2,14:54,3,10,IND 4,14,3,Peyton Manning pass complete short left to Reggie Wayne for 8 yards (tackle by Ronald Bartell),-1.420,-2.490
