Quarter,Time,Tm,Detail,IND,STL
1.0,8:50,Colts,Reggie Wayne 6 yard pass from Peyton Manning (Matt Stover kick),7,0
,5:26,Rams,Josh Brown 30 yard field goal,7,3
,3:31,Colts,Dallas Clark 27 yard pass from Peyton Manning (Matt Stover kick),14,3
2.0,1:57,Colts,Joseph Addai 6 yard rush (Matt Stover kick),21,3
3.0,5:07,Rams,Josh Brown 45 yard field goal,21,6
,1:00,Colts,Jacob Lacey 35 yard interception return (Matt Stover kick),28,6
4.0,3:42,Colts,Austin Collie 8 yard pass from Peyton Manning (Matt Stover kick),35,6
,2:29,Colts,Chad Simpson 31 yard rush (Matt Stover kick),42,6
