Week,Day,Date,Time,Winner/tie,Unnamed: 5,Loser/tie,Unnamed: 7,PtsW,PtsL,YdsW,TOW,YdsL,TOL,url,Home,Away,File
Week1,Thu,2008-09-04,7:08PM,New York Giants,,Washington Redskins,boxscore,16,7,354,1,209,0,https://www.pro-football-reference.com/boxscores/200809040nyg.htm,NYG,WAS,2008_Week1_NYG_vs_WAS
Week1,Sun,2008-09-07,1:02PM,Buffalo Bills,,Seattle Seahawks,boxscore,34,10,338,0,252,2,https://www.pro-football-reference.com/boxscores/200809070buf.htm,BUF,SEA,2008_Week1_BUF_vs_SEA
Week1,Sun,2008-09-07,1:02PM,Pittsburgh Steelers,,Houston Texans,boxscore,38,17,305,1,234,3,https://www.pro-football-reference.com/boxscores/200809070pit.htm,PIT,HOU,2008_Week1_PIT_vs_HOU
Week1,Sun,2008-09-07,1:02PM,New England Patriots,,Kansas City Chiefs,boxscore,17,10,338,2,284,1,https://www.pro-football-reference.com/boxscores/200809070nwe.htm,NE,KC,2008_Week1_NE_vs_KC
Week1,Sun,2008-09-07,1:02PM,New York Jets,@,Miami Dolphins,boxscore,20,14,293,1,277,1,https://www.pro-football-reference.com/boxscores/200809070mia.htm,MIA,NYJ,2008_Week1_MIA_vs_NYJ
Week1,Sun,2008-09-07,1:02PM,New Orleans Saints,,Tampa Bay Buccaneers,boxscore,24,20,438,1,352,1,https://www.pro-football-reference.com/boxscores/200809070nor.htm,NO,TB,2008_Week1_NO_vs_TB
Week1,Sun,2008-09-07,1:02PM,Philadelphia Eagles,,St. Louis Rams,boxscore,38,3,522,0,166,0,https://www.pro-football-reference.com/boxscores/200809070phi.htm,PHI,LAR,2008_Week1_PHI_vs_LAR
Week1,Sun,2008-09-07,1:04PM,Atlanta Falcons,,Detroit Lions,boxscore,34,21,474,0,316,1,https://www.pro-football-reference.com/boxscores/200809070atl.htm,ATL,DET,2008_Week1_ATL_vs_DET
Week1,Sun,2008-09-07,1:05PM,Tennessee Titans,,Jacksonville Jaguars,boxscore,17,10,309,2,189,3,https://www.pro-football-reference.com/boxscores/200809070oti.htm,TEN,JAX,2008_Week1_TEN_vs_JAX
Week1,Sun,2008-09-07,1:06PM,Baltimore Ravens,,Cincinnati Bengals,boxscore,17,10,358,2,154,2,https://www.pro-football-reference.com/boxscores/200809070rav.htm,BAL,CIN,2008_Week1_BAL_vs_CIN
Week1,Sun,2008-09-07,4:15PM,Carolina Panthers,@,San Diego Chargers,boxscore,26,24,388,1,316,1,https://www.pro-football-reference.com/boxscores/200809070sdg.htm,LAC,CAR,2008_Week1_LAC_vs_CAR
Week1,Sun,2008-09-07,4:16PM,Dallas Cowboys,@,Cleveland Browns,boxscore,28,10,487,1,205,0,https://www.pro-football-reference.com/boxscores/200809070cle.htm,CLE,DAL,2008_Week1_CLE_vs_DAL
Week1,Sun,2008-09-07,4:16PM,Arizona Cardinals,@,San Francisco 49ers,boxscore,23,13,285,0,291,5,https://www.pro-football-reference.com/boxscores/200809070sfo.htm,SF,ARI,2008_Week1_SF_vs_ARI
Week1,Sun,2008-09-07,8:23PM,Chicago Bears,@,Indianapolis Colts,boxscore,29,13,319,0,293,1,https://www.pro-football-reference.com/boxscores/200809070clt.htm,IND,CHI,2008_Week1_IND_vs_CHI
Week1,Mon,2008-09-08,7:10PM,Green Bay Packers,,Minnesota Vikings,boxscore,24,19,317,0,355,1,https://www.pro-football-reference.com/boxscores/200809080gnb.htm,GB,MIN,2008_Week1_GB_vs_MIN
Week1,Mon,2008-09-08,10:22PM,Denver Broncos,@,Oakland Raiders,boxscore,41,14,441,0,307,1,https://www.pro-football-reference.com/boxscores/200809080rai.htm,LVR,DEN,2008_Week1_LVR_vs_DEN
Week2,Sun,2008-09-14,1:00PM,Oakland Raiders,@,Kansas City Chiefs,boxscore,23,8,355,2,190,2,https://www.pro-football-reference.com/boxscores/200809140kan.htm,KC,LVR,2008_Week2_KC_vs_LVR
Week2,Sun,2008-09-14,1:00PM,New York Giants,@,St. Louis Rams,boxscore,41,13,441,0,201,1,https://www.pro-football-reference.com/boxscores/200809140ram.htm,LAR,NYG,2008_Week2_LAR_vs_NYG
Week2,Sun,2008-09-14,1:02PM,Tennessee Titans,@,Cincinnati Bengals,boxscore,24,7,295,1,215,2,https://www.pro-football-reference.com/boxscores/200809140cin.htm,CIN,TEN,2008_Week2_CIN_vs_TEN
Week2,Sun,2008-09-14,1:03PM,Buffalo Bills,@,Jacksonville Jaguars,boxscore,20,16,285,1,243,2,https://www.pro-football-reference.com/boxscores/200809140jax.htm,JAX,BUF,2008_Week2_JAX_vs_BUF
Week2,Sun,2008-09-14,1:03PM,Carolina Panthers,,Chicago Bears,boxscore,20,17,216,1,256,2,https://www.pro-football-reference.com/boxscores/200809140car.htm,CAR,CHI,2008_Week2_CAR_vs_CHI
Week2,Sun,2008-09-14,1:03PM,Green Bay Packers,@,Detroit Lions,boxscore,48,25,447,1,311,3,https://www.pro-football-reference.com/boxscores/200809140det.htm,DET,GB,2008_Week2_DET_vs_GB
Week2,Sun,2008-09-14,1:03PM,Washington Redskins,,New Orleans Saints,boxscore,29,24,455,1,250,3,https://www.pro-football-reference.com/boxscores/200809140was.htm,WAS,NO,2008_Week2_WAS_vs_NO
Week2,Sun,2008-09-14,1:05PM,Indianapolis Colts,@,Minnesota Vikings,boxscore,18,15,321,2,299,1,https://www.pro-football-reference.com/boxscores/200809140min.htm,MIN,IND,2008_Week2_MIN_vs_IND
Week2,Sun,2008-09-14,4:05PM,Tampa Bay Buccaneers,,Atlanta Falcons,boxscore,24,9,311,1,234,2,https://www.pro-football-reference.com/boxscores/200809140tam.htm,TB,ATL,2008_Week2_TB_vs_ATL
