Unnamed: 0,CHI,CAR
First Downs,22,23
Rush-Yds-TDs,25-63-1,29-112-1
Cmp-Att-Yd-TD-INT,23-39-198-1-1,16-29-216-0-2
Sacked-Yards,0-0,4-25
Net Pass Yards,198,191
Total Yards,261,303
Fumbles-Lost,1-0,1-1
Turnovers,1,3
Penalties-Yards,10-92,8-69
Third Down Conv.,7-14,3-13
Fourth Down Conv.,0-0,1-2
Time of Possession,28:54,31:06
