Quarter,Time,Tm,Detail,CHI,CAR
1.0,11:40,Bears,Cole Kmet 9 yard pass from Nick Foles (Cairo Santos kick),7,0
,5:07,Panthers,Joey Slye 21 yard field goal,7,3
2.0,8:09,Bears,Cairo Santos 31 yard field goal,10,3
,2:00,Panthers,Joey Slye 20 yard field goal,10,6
,0:02,Bears,Cairo Santos 55 yard field goal,13,6
3.0,1:44,Bears,Nick Foles 1 yard rush (Cairo Santos kick),20,6
4.0,13:11,Panthers,Mike Davis 1 yard rush (Joey Slye kick),20,13
,9:19,Bears,Cairo Santos 31 yard field goal,23,13
,7:46,Panthers,Joey Slye 48 yard field goal,23,16
