Quarter,Time,Down,ToGo,Location,CHI,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Cairo Santos kicks off 63 yards, returned by Pharoh Cooper for 18 yards (tackle by Artavis Pierce and Sherrick McManis). Penalty on Chris Manhertz: Illegal Double-Team Block, 10 yards",0.000,-0.380
1,14:54,1,10,CAR 10,0,0,Mike Davis up the middle for -1 yards (tackle by Khalil Mack and Robert Quinn),-0.380,-0.850
1,14:13,2,11,CAR 9,0,0,Teddy Bridgewater sacked by Bilal Nichols for -8 yards,-0.850,-2.470
1,13:25,3,19,CAR 1,0,0,Teddy Bridgewater pass short left (defended by Jaylon Johnson) intended for Robby Anderson is intercepted by Tashaun Gipson at CAR-16 and returned for 9 yards,-2.470,-5.600
1,13:16,1,7,CAR 7,0,0,Nick Foles pass complete short left to Jimmy Graham for 1 yard (tackle by Juston Burris),5.600,4.950
1,12:34,2,6,CAR 6,0,0,David Montgomery right tackle for 2 yards (tackle by Derrick Brown),4.950,4.490
1,11:46,,,,,,Timeout #1 by Chicago Bears,,
1,11:46,3,4,CAR 4,0,0,"Penalty on Nick Foles: Delay of Game, 5 yards (no play)",4.490,3.360
1,11:46,,,,,,Timeout #1 by Carolina Panthers,,
1,11:46,3,9,CAR 9,6,0,"Nick Foles pass complete short middle to Cole Kmet for 9 yards, touchdown",3.360,7.000
1,11:40,,,CAR 15,7,0,Cairo Santos kicks extra point good,0.000,0.000
1,11:40,,,CHI 35,7,0,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
1,11:40,1,10,CAR 25,7,0,"Penalty on Russell Okung: False Start, 5 yards (no play)",0.610,0.280
1,11:40,1,15,CAR 20,7,0,Teddy Bridgewater pass complete short left to D.J. Moore for 22 yards (tackle by Danny Trevathan and Eddie Jackson),0.280,1.730
1,11:09,1,10,CAR 42,7,0,Mike Davis up the middle for 3 yards (tackle by Bilal Nichols),1.730,1.590
1,10:31,2,7,CAR 45,7,0,Teddy Bridgewater pass incomplete short right intended for Chris Manhertz (defended by Roquan Smith),1.590,0.890
1,10:27,3,7,CAR 45,7,0,Teddy Bridgewater pass complete short middle to D.J. Moore for 12 yards (tackle by Buster Skrine),0.890,2.720
1,9:47,1,10,CHI 43,7,0,"Teddy Bridgewater up the middle for 10 yards (tackle by Roquan Smith). Penalty on Jaylon Johnson: Illegal Contact, 5 yards",2.720,3.710
1,9:20,1,10,CHI 28,7,0,Teddy Bridgewater pass incomplete deep left intended for Keith Kirkwood,3.710,3.170
1,9:14,2,10,CHI 28,7,0,Mike Davis left tackle for 11 yards (tackle by Tashaun Gipson and Roquan Smith),3.170,4.440
1,8:43,1,10,CHI 17,7,0,Mike Davis right guard for 3 yards (tackle by James Vaughters),4.440,4.320
1,7:58,2,7,CHI 14,7,0,Teddy Bridgewater up the middle for 4 yards (tackle by Roquan Smith and Brent Urban),4.320,4.340
1,7:15,3,3,CHI 10,7,0,Teddy Bridgewater left end for 3 yards (tackle by Tashaun Gipson and Danny Trevathan),4.340,5.600
1,6:42,1,7,CHI 7,7,0,Mike Davis up the middle for 1 yard (tackle by Roquan Smith and Khalil Mack),5.600,4.950
1,6:04,2,6,CHI 6,7,0,Teddy Bridgewater pass incomplete short left intended for Alex Armah,4.950,4.040
1,5:59,3,6,CHI 6,7,0,Teddy Bridgewater left end for 3 yards (tackle by Danny Trevathan),4.040,3.040
1,5:11,4,3,CHI 3,7,3,Joey Slye 21 yard field goal good,3.040,3.000
1,5:07,,,CAR 35,7,3,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,5:07,1,10,CHI 25,7,3,David Montgomery left tackle for 3 yards (tackle by Shaq Thompson),0.610,0.470
1,4:27,2,7,CHI 28,7,3,Nick Foles pass incomplete deep right,0.470,-0.230
1,4:19,3,7,CHI 28,7,3,Nick Foles pass complete short left to Allen Robinson for 17 yards (tackle by Jeremy Chinn),-0.230,1.930
1,3:50,1,10,CHI 45,7,3,David Montgomery up the middle for 1 yard (tackle by Brian Burns),1.930,1.520
1,3:08,2,9,CHI 46,7,3,"Penalty on Charles Leno: False Start, 5 yards (no play)",1.520,0.840
1,2:47,2,14,CHI 41,7,3,Nick Foles pass complete short right to Darnell Mooney for 11 yards (tackle by Corn Elder),0.840,1.620
1,2:06,3,3,CAR 48,7,3,Nick Foles pass complete short right to Anthony Miller for 2 yards (tackle by Tre Boston),1.620,0.200
1,1:22,4,1,CAR 46,7,3,"Pat O'Donnell punts 35 yards, fair catch by Pharoh Cooper at CAR-11",0.200,0.370
1,1:15,1,10,CAR 11,7,3,Mike Davis up the middle for 1 yard (tackle by Danny Trevathan and Brent Urban),-0.370,-0.710
1,0:37,2,9,CAR 12,7,3,Teddy Bridgewater pass complete short right to Robby Anderson for 5 yards (tackle by Kyle Fuller),-0.710,-0.720
Quarter,Time,Down,ToGo,Location,CHI,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,CAR 17,7,3,Teddy Bridgewater sacked by Khalil Mack for -5 yards,-0.720,-2.490
2,14:17,4,9,CAR 12,7,3,"Joseph Charlton punts 49 yards, muffed catch by Ted Ginn, recovered by Ted Ginn at CHI-39, returned by Ted Ginn for no gain (tackle by Trenton Cannon)",-2.490,-1.530
2,14:07,1,10,CHI 39,7,3,David Montgomery right guard for 3 yards (tackle by Tahir Whitehead),1.530,1.390
2,13:31,2,7,CHI 42,7,3,Nick Foles pass complete short left to Darnell Mooney for 7 yards (tackle by Donte Jackson),1.390,2.190
2,12:56,1,10,CHI 49,7,3,Nick Foles pass complete short right to Anthony Miller for 4 yards (tackle by Jeremy Chinn),2.190,2.190
2,12:13,2,6,CAR 47,7,3,Nick Foles pass complete short left to Anthony Miller for 2 yards (tackle by Corn Elder),2.190,1.750
2,11:36,3,4,CAR 45,7,3,Nick Foles pass complete short right to Jimmy Graham for 8 yards (tackle by Shaq Thompson),1.750,3.120
2,10:54,1,10,CAR 37,7,3,Nick Foles pass complete short left to David Montgomery for 12 yards (tackle by Stephen Weatherly),3.120,3.910
2,10:17,1,10,CAR 25,7,3,Nick Foles pass complete short right to Cole Kmet for 11 yards (tackle by Tahir Whitehead and Jeremy Chinn),3.910,4.650
2,9:33,1,10,CAR 14,7,3,David Montgomery left end for 4 yards (tackle by Juston Burris),4.650,4.710
2,8:57,2,6,CAR 10,7,3,David Montgomery right tackle for -3 yards (tackle by Derrick Brown),4.710,3.260
2,8:17,3,9,CAR 13,7,3,Nick Foles pass incomplete short left intended for Allen Robinson (defended by Rasul Douglas),3.260,2.570
2,8:12,4,9,CAR 13,10,3,Cairo Santos 31 yard field goal good,2.570,3.000
2,8:09,,,CHI 35,10,3,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,8:09,1,10,CAR 25,10,3,Teddy Bridgewater pass complete short right to D.J. Moore for 5 yards (tackle by Danny Trevathan),0.610,0.740
2,7:27,2,5,CAR 30,10,3,Mike Davis left end for 12 yards (tackle by Roquan Smith),0.740,1.730
2,7:05,1,10,CAR 42,10,3,"Penalty on Russell Okung: False Start, 5 yards (no play)",1.730,1.400
2,6:41,1,15,CAR 37,10,3,Teddy Bridgewater pass complete short middle to D.J. Moore for 16 yards (tackle by Jaylon Johnson and Kyle Fuller),1.400,2.460
2,6:01,1,10,CHI 47,10,3,Trenton Cannon right end for 10 yards (tackle by Roquan Smith),2.460,3.120
2,5:28,1,10,CHI 37,10,3,Mike Davis left end for 10 yards (tackle by Tashaun Gipson),3.120,3.780
2,4:43,1,10,CHI 27,10,3,Teddy Bridgewater pass incomplete short left,3.780,3.230
2,4:39,2,10,CHI 27,10,3,"Teddy Bridgewater pass incomplete short right intended for Keith Kirkwood (defended by Kyle Fuller). Penalty on Kyle Fuller: Unnecessary Roughness, 14 yards (no play)",3.230,4.710
2,4:30,1,10,CHI 13,10,3,Mike Davis up the middle for -1 yards (tackle by Akiem Hicks),4.710,3.900
2,3:51,2,11,CHI 14,10,3,Teddy Bridgewater pass incomplete short left,3.900,3.080
2,3:44,3,11,CHI 14,10,3,Teddy Bridgewater up the middle for 8 yards (tackle by Jaylon Johnson and Danny Trevathan),3.080,3.010
2,3:00,,,,,,Timeout #2 by Chicago Bears,,
2,3:00,4,3,CHI 6,10,3,"Penalty on Akiem Hicks: Neutral Zone Infraction, 3 yards (no play)",3.010,6.510
2,3:00,1,3,CHI 3,10,3,Mike Davis up the middle for no gain (tackle by John Jenkins and Eddie Jackson),6.510,5.530
2,2:14,2,3,CHI 3,10,3,Teddy Bridgewater right tackle for 1 yard (tackle by Kyle Fuller),5.530,4.950
2,2:07,,,,,,Timeout #3 by Chicago Bears,,
2,2:07,3,2,CHI 2,10,3,Teddy Bridgewater pass incomplete short right intended for D.J. Moore,4.950,3.250
2,2:03,4,2,CHI 2,10,6,Joey Slye 20 yard field goal good,3.250,3.000
2,2:00,,,CAR 35,10,6,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,2:00,1,10,CHI 25,10,6,David Montgomery left guard for 3 yards (tackle by Marquis Haynes),0.610,0.470
2,1:37,2,7,CHI 28,10,6,Nick Foles pass complete short middle to David Montgomery for 7 yards (tackle by Tre Boston and Shaq Thompson),0.470,1.270
2,1:09,1,10,CHI 35,10,6,Nick Foles pass complete short right to Jimmy Graham for 10 yards (tackle by Shaq Thompson),1.270,1.930
2,0:47,1,10,CHI 45,10,6,Nick Foles pass incomplete short left intended for Darnell Mooney,1.930,1.380
2,0:42,2,10,CHI 45,10,6,Nick Foles pass complete short right to David Montgomery for 13 yards (tackle by Tre Boston and Corn Elder),1.380,2.790
2,0:24,1,10,CAR 42,10,6,Nick Foles spiked the ball,2.790,2.240
2,0:23,2,10,CAR 42,10,6,"Nick Foles pass complete short right to Jimmy Graham for 6 yards (tackle by Jeremy Chinn). Penalty on Rasul Douglas: Illegal Use of Hands, 5 yards (no play)",2.240,3.120
2,0:17,1,10,CAR 37,10,6,Nick Foles pass incomplete deep left intended for Darnell Mooney (defended by Donte Jackson) (defended by Tre Boston),3.120,2.570
2,0:11,2,10,CAR 37,10,6,Nick Foles pass incomplete short left intended for Jimmy Graham,2.570,1.880
2,0:07,3,10,CAR 37,13,6,Cairo Santos 55 yard field goal good,1.880,3.000
2,0:02,,,CHI 35,13,6,"Cairo Santos kicks off 63 yards, returned by Pharoh Cooper for 19 yards (tackle by Sherrick McManis)",0.000,1.270
Quarter,Time,Down,ToGo,Location,CHI,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,13,6,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CHI 25,13,6,David Montgomery left guard for -1 yards (tackle by Derrick Brown and Zach Kerr),0.610,-0.070
3,14:18,2,11,CHI 24,13,6,Nick Foles pass incomplete short right intended for Demetrius Harris,-0.070,-0.760
3,14:13,3,11,CHI 24,13,6,"Penalty on Efe Obada: Neutral Zone Infraction, 5 yards (no play)",-0.760,-0.100
3,14:13,3,6,CHI 29,13,6,Nick Foles right end for 7 yards (tackle by Corn Elder),-0.100,1.330
3,13:30,1,10,CHI 36,13,6,"Nick Foles pass incomplete deep right intended for Javon Wims. Penalty on Troy Pride: Defensive Pass Interference, 21 yards (no play)",1.330,2.720
3,13:23,1,10,CAR 43,13,6,Cordarrelle Patterson left guard for 1 yard (tackle by Tahir Whitehead),2.720,2.310
3,12:42,2,9,CAR 42,13,6,Nick Foles pass incomplete short left intended for Demetrius Harris,2.310,1.620
3,12:37,3,9,CAR 42,13,6,Nick Foles pass incomplete short right intended for Jimmy Graham (defended by Jeremy Chinn),1.620,0.460
3,12:32,4,9,CAR 42,13,6,Pat O'Donnell punts 39 yards downed by Sherrick McManis,0.460,0.380
3,12:23,1,10,CAR 3,13,6,Mike Davis right end for 6 yards (tackle by Roy Robertson-Harris),-0.380,-0.340
3,11:46,2,4,CAR 9,13,6,Teddy Bridgewater pass complete short right to Mike Davis for 1 yard (tackle by Roquan Smith),-0.340,-0.600
3,11:04,3,3,CAR 10,13,6,Teddy Bridgewater pass complete deep left to Robby Anderson for 20 yards (tackle by Buster Skrine),-0.600,0.940
3,10:20,1,10,CAR 30,13,6,"Mike Davis right tackle for -4 yards (tackle by Eddie Jackson). Mike Davis fumbles (forced by Eddie Jackson), recovered by Akiem Hicks at CAR-26 and returned for 4 yards (tackle by Taylor Moton)",0.940,-4.110
3,10:13,1,10,CAR 22,13,6,Nick Foles pass short right intended for Demetrius Harris is intercepted by Jeremy Chinn at CAR-9 and returned for no gain,4.110,0.380
