Quarter,Time,Tm,Detail,CIN,TEN
1.0,9:12,Bengals,Evan McPherson 21 yard field goal,3,0
,1:24,Titans,Nick Folk 53 yard field goal,3,3
2.0,6:31,Titans,Nick Westbrook-Ikhine 13 yard pass from Ryan Tannehill (Nick Folk kick),3,10
,3:58,Titans,Derrick Henry 29 yard rush (Nick Folk kick),3,17
,0:10,Titans,Josh Whyle 2 yard pass from Derrick Henry (Nick Folk kick),3,24
3.0,4:38,Titans,Nick Folk 35 yard field goal,3,27
