Unnamed: 0,CIN,TEN
First Downs,14,23
Rush-Yds-TDs,18-72-0,33-173-1
Cmp-Att-Yd-TD-INT,20-30-165-0-0,19-26-242-2-1
Sacked-Yards,3-26,3-15
Net Pass Yards,139,227
Total Yards,211,400
Fumbles-Lost,2-1,3-0
Turnovers,1,1
Penalties-Yards,5-40,5-27
Third Down Conv.,2-9,8-13
Fourth Down Conv.,0-1,1-1
Time of Possession,25:15,34:45
