Quarter,Time,Down,ToGo,Location,CIN,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Nick Folk kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CIN 25,0,0,Joe Burrow pass complete short right to Ja'Marr Chase for 9 yards (tackle by Sean Murphy-Bunting and Denico Autry),0.610,1.280
1,14:26,2,1,CIN 34,0,0,Joe Burrow scrambles up the middle for 1 yard (tackle by Jack Gibbens),1.280,1.270
1,13:42,1,10,CIN 35,0,0,Joe Mixon up the middle for 8 yards (tackle by Jeffery Simmons),1.270,1.800
1,13:10,2,2,CIN 43,0,0,Joe Mixon left guard for 11 yards (tackle by Amani Hooker),1.800,2.520
1,12:30,1,10,TEN 46,0,0,Joe Burrow pass complete short right to Tee Higgins for 9 yards (tackle by Sean Murphy-Bunting and Azeez Al-Shaair),2.520,3.190
1,11:49,2,1,TEN 37,0,0,Joe Burrow pass complete short left to Ja'Marr Chase for 17 yards (tackle by Jack Gibbens),3.190,4.240
1,11:17,1,10,TEN 20,0,0,Joe Burrow pass complete short left to Tee Higgins for 10 yards (tackle by Roger McCreary),4.240,4.910
1,10:42,1,10,TEN 10,0,0,Joe Mixon left guard for 4 yards (tackle by Jack Gibbens and Azeez Al-Shaair),4.910,4.950
1,10:00,2,6,TEN 6,0,0,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by Amani Hooker),4.950,4.040
1,9:56,,,,,,Timeout #1 by Cincinnati Bengals,,
1,9:56,3,6,TEN 6,0,0,Joe Mixon up the middle for 3 yards (tackle by Azeez Al-Shaair),4.040,3.040
1,9:15,4,3,TEN 3,3,0,Evan McPherson 21 yard field goal good,3.040,3.000
1,9:12,,,CIN 35,3,0,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
1,9:12,1,10,TEN 25,3,0,Derrick Henry right tackle for 3 yards (tackle by Cam Taylor-Britt and Nick Scott),0.610,0.470
1,8:30,2,7,TEN 28,3,0,Ryan Tannehill pass complete short right to Tyjae Spears for 6 yards (tackle by Nick Scott),0.470,0.560
1,8:06,3,1,TEN 34,3,0,Derrick Henry left tackle for 2 yards (tackle by Trey Hendrickson),0.560,1.330
1,7:27,1,10,TEN 36,3,0,Derrick Henry left end for 11 yards (tackle by Daxton Hill),1.330,2.060
1,6:47,1,10,TEN 47,3,0,Tyjae Spears right guard for 8 yards (tackle by Chidobe Awuzie),2.060,2.600
1,6:10,2,2,CIN 45,3,0,Ryan Tannehill pass incomplete deep left intended for DeAndre Hopkins,2.600,1.880
1,6:00,3,2,CIN 45,3,0,Ryan Tannehill pass incomplete deep left intended for Chris Moore,1.880,0.270
1,5:55,4,2,CIN 45,3,0,Ryan Tannehill pass complete short middle to Tyjae Spears for 3 yards (tackle by Germaine Pratt),0.270,2.790
1,5:15,1,10,CIN 42,3,0,Ryan Tannehill scrambles up the middle for 7 yards (tackle by Germaine Pratt),2.790,3.190
1,4:37,2,3,CIN 35,3,0,Derrick Henry right end for 2 yards (tackle by Logan Wilson),3.190,2.740
1,4:12,3,1,CIN 33,3,0,Derrick Henry up the middle for 2 yards (tackle by Sam Hubbard),2.740,3.510
1,3:31,1,10,CIN 31,3,0,Derrick Henry right guard for 1 yard (tackle by Sam Hubbard and Trey Hendrickson),3.510,3.100
1,2:49,2,9,CIN 30,3,0,Ryan Tannehill pass complete short left to Nick Westbrook-Ikhine for 6 yards (tackle by Mike Hilton),3.100,3.200
1,2:08,3,3,CIN 24,3,0,Ryan Tannehill sacked by and B.J. Hill for -11 yards and Trey Hendrickson for -11 yards,3.200,0.970
1,1:27,4,14,CIN 35,3,3,Nick Folk 53 yard field goal good,0.970,3.000
1,1:24,,,TEN 35,3,3,"Nick Folk kicks off 65 yards, touchback.",0.000,0.610
1,1:24,1,10,CIN 25,3,3,Joe Mixon left tackle for 7 yards (tackle by Kristian Fulton),0.610,1.010
1,0:47,2,3,CIN 32,3,3,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,1.010,0.300
1,0:43,3,3,CIN 32,3,3,"Joe Burrow pass incomplete intended for Tyler Boyd. Penalty on Roger McCreary: Defensive Pass Interference, 2 yards (accepted) (no play)",0.300,1.200
1,0:39,1,10,CIN 34,3,3,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by Kristian Fulton),1.200,0.660
1,0:33,2,10,CIN 34,3,3,Joe Burrow pass complete short left to Ja'Marr Chase for 12 yards (tackle by Azeez Al-Shaair),0.660,1.990
1,0:00,1,10,CIN 46,3,3,"Joe Mixon for no gain. Penalty on Arden Key: Defensive Offside, 5 yards (accepted) (no play)",1.990,2.720
Quarter,Time,Down,ToGo,Location,CIN,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,5,TEN 49,3,3,"Penalty on Joe Mixon: Unsportsmanlike Conduct / Offense, 15 yards (offset) Penalty on Jeffery Simmons: Unsportsmanlike Conduct / Defense, 15 yards (offset) (no play)",2.720,2.720
2,15:00,1,5,TEN 49,3,3,"Joe Burrow sacked by Azeez Al-Shaair for no gain. Joe Burrow fumbles (forced by Azeez Al-Shaair), recovered by Azeez Al-Shaair at TEN-41 Replay Assistant challenged the fumble ruling, and the original play was overturned. Joe Burrow pass incomplete short right (defended by Azeez Al-Shaair)",2.720,2.130
2,14:54,2,5,TEN 49,3,3,Joe Mixon left end for -2 yards (tackle by Rashad Weaver and Harold Landry),2.130,1.160
2,14:14,3,7,CIN 49,3,3,Joe Burrow sacked by and Jeffery Simmons for -8 yards and Denico Autry for -8 yards,1.160,-0.650
2,13:35,4,15,CIN 41,3,3,"Brad Robbins punts 49 yards, returned by Mason Kinsey for 21 yards (tackle by Trayveon Williams). Penalty on Tycen Anderson: Illegal Block Above the Waist, 10 yards (accepted)",-0.650,-1.660
2,13:24,1,10,TEN 41,3,3,Derrick Henry up the middle for 1 yard (tackle by Germaine Pratt),1.660,1.260
2,12:47,2,9,TEN 42,3,3,"Penalty on Nick Westbrook-Ikhine: False Start, 5 yards (accepted) (no play)",1.260,0.580
2,12:30,2,14,TEN 37,3,3,Ryan Tannehill pass incomplete short right intended for Tyjae Spears,0.580,-0.100
2,12:27,3,14,TEN 37,3,3,Ryan Tannehill pass complete short middle to Chigoziem Okonkwo for 6 yards (tackle by Cam Taylor-Britt),-0.100,-0.520
2,11:45,4,8,TEN 43,3,3,"Ryan Stonehouse punts 48 yards, fair catch by Trenton Irwin at CIN-9",-0.520,0.380
2,11:38,1,10,CIN 9,3,3,Joe Mixon up the middle for 13 yards (tackle by Kevin Byard),-0.380,0.410
