Unnamed: 0,GNB,CHI
First Downs,20,12
Rush-Yds-TDs,32-113-0,23-83-0
Cmp-Att-Yd-TD-INT,23-36-291-3-0,12-21-135-1-1
Sacked-Yards,3-13,4-28
Net Pass Yards,278,107
Total Yards,391,190
Fumbles-Lost,2-2,2-0
Turnovers,2,1
Penalties-Yards,8-104,10-91
Third Down Conv.,7-17,0-9
Fourth Down Conv.,2-2,0-1
Time of Possession,33:23,26:37
