Quarter,Time,Down,ToGo,Location,GNB,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,CHI 20,0,0,Matt Forte left tackle for 2 yards (tackle by Clay Matthews and Ryan Pickett),0.280,0.000
1,14:26,2,8,CHI 22,0,0,Matt Forte right guard for 14 yards (tackle by Morgan Burnett),0.000,1.330
1,13:49,1,10,CHI 36,0,0,Matt Forte left end for 4 yards (tackle by Brad Jones),1.330,1.330
1,13:11,2,6,CHI 40,0,0,Matt Forte right end for 8 yards (tackle by Brad Jones),1.330,2.130
1,12:27,1,10,CHI 48,0,0,Armando Allen right guard for 3 yards (tackle by Ryan Pickett),2.130,1.990
1,11:44,2,7,GNB 49,0,0,Jay Cutler pass complete short right to Brandon Marshall for 9 yards (tackle by Tramon Williams),1.990,2.920
1,11:06,1,10,GNB 40,0,0,Matt Forte right end for 9 yards (tackle by A.J. Hawk),2.920,3.590
1,10:27,2,1,GNB 31,0,0,Matt Forte right guard for no gain (tackle by Mike Daniels),3.590,2.870
1,9:49,3,1,GNB 31,0,0,"Penalty on Roberto Garza: False Start, 5 yards (no play)",2.870,2.210
1,9:27,3,6,GNB 36,0,0,Jay Cutler pass incomplete short middle intended for Alshon Jeffery (defended by Sam Shields),2.210,0.880
1,9:24,4,6,GNB 36,0,0,Adam Podlesh punts 34 yards,0.880,0.380
1,9:13,1,10,GNB 2,0,0,"Penalty on Don Barclay: False Start, 1 yards (no play)",-0.380,-0.420
1,9:13,1,11,GNB 1,0,0,Aaron Rodgers pass complete short right to James Jones for 6 yards (tackle by Kelvin Hayden),-0.420,-0.420
1,8:37,2,5,GNB 7,0,0,John Kuhn left guard for 4 yards (tackle by Corey Wootton),-0.420,-0.370
1,8:01,3,1,GNB 11,0,0,Aaron Rodgers right end for 6 yards (tackle by Blake Costanzo),-0.370,-0.060
1,7:30,1,10,GNB 17,0,0,Alex Green right guard for 6 yards (tackle by Corey Wootton),-0.060,0.350
1,7:00,2,4,GNB 23,0,0,Aaron Rodgers pass incomplete short left intended for Randall Cobb,0.350,-0.490
1,6:56,3,4,GNB 23,0,0,Aaron Rodgers pass incomplete short right intended for Greg Jennings,-0.490,-1.830
1,6:50,4,4,GNB 23,0,0,"Tim Masthay punts 44 yards, returned by Devin Hester for 8 yards (tackle by Ryan Taylor). Penalty on CHI: Defensive 12 On-field, 5 yards, Penalty on Kyle Adams: Illegal Block Above the Waist (Declined) (no play)",-1.830,0.810
1,6:39,1,10,GNB 28,0,0,Aaron Rodgers sacked by Corey Wootton for -3 yards,0.810,-0.140
1,6:04,2,13,GNB 25,0,0,Aaron Rodgers pass incomplete deep left intended for Jermichael Finley,-0.140,-0.820
1,6:00,3,13,GNB 25,0,0,Aaron Rodgers pass incomplete,-0.820,-1.700
1,5:55,4,13,GNB 25,0,0,"Tim Masthay punts 51 yards, returned by Devin Hester for 24 yards (tackle by Tim Masthay)",-1.700,-2.130
1,5:40,1,10,CHI 48,0,0,Matt Forte right tackle for 1 yard (tackle by Erik Walden),2.130,1.720
1,5:07,2,9,CHI 49,0,0,Matt Forte left guard for -3 yards (tackle by Clay Matthews),1.720,0.630
1,4:34,3,12,CHI 46,0,0,Jay Cutler right guard for 9 yards (tackle by Brad Jones),0.630,0.270
1,3:53,4,3,GNB 45,0,0,"Adam Podlesh punts 31 yards, fair catch by Randall Cobb",0.270,0.280
1,3:45,1,10,GNB 14,0,0,Alex Green left end for 8 yards (tackle by Cheta Ozougwu),-0.280,0.420
1,3:23,2,2,GNB 22,0,0,Alex Green left end for 6 yards (tackle by Nick Roach),0.420,0.810
1,2:46,1,10,GNB 28,0,0,Alex Green left tackle for 3 yards (tackle by Israel Idonije),0.810,0.670
1,2:15,2,7,GNB 31,0,0,Aaron Rodgers pass complete short right to Alex Green for -1 yards (tackle by D.J. Moore and Kelvin Hayden),0.670,-0.160
1,1:35,3,8,GNB 30,0,0,Aaron Rodgers sacked by Corey Wootton and Julius Peppers for -5 yards,-0.160,-1.700
1,1:19,4,13,GNB 25,0,0,"Tim Masthay punts 44 yards, out of bounds",-1.700,-1.000
1,1:08,1,10,CHI 31,0,0,Jay Cutler pass incomplete deep right intended for Matt Forte (defended by Brad Jones),1.000,0.460
1,1:02,2,10,CHI 31,0,0,"Matt Forte left end for 7 yards (tackle by Morgan Burnett). Penalty on Gabe Carimi: Offensive Holding, 10 yards (no play)",0.460,-0.890
