Unnamed: 0,SFO,SEA
First Downs,12,19
Rush-Yds-TDs,20-100-0,47-172-2
Cmp-Att-Yd-TD-INT,13-28-127-0-3,8-19-142-1-1
Sacked-Yards,3-20,4-24
Net Pass Yards,107,118
Total Yards,207,290
Fumbles-Lost,2-2,1-0
Turnovers,5,1
Penalties-Yards,12-121,10-84
Third Down Conv.,3-12,5-16
Fourth Down Conv.,0-1,1-2
Time of Possession,23:17,36:43
