Quarter,Time,Down,ToGo,Location,PIT,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 74 yards, returned by Najeh Davenport for 21 yards (tackle by Greg Estandia)",0.000,-0.060
1,14:56,1,10,PIT 17,0,0,"Mewelde Moore up the middle for 19 yards (tackle by Will James). Penalty on Paul Spicer: Unnecessary Roughness, 15 yards",-0.060,2.320
1,14:18,1,10,JAX 49,0,0,Ben Roethlisberger pass complete short right to Hines Ward for 13 yards (tackle by Clint Ingram),2.320,3.180
1,13:43,1,10,JAX 36,0,0,Ben Roethlisberger pass incomplete short middle intended for Matt Spaeth (defended by Brian Williams),3.180,2.640
1,13:40,2,10,JAX 36,0,0,Ben Roethlisberger sacked by John Henderson for -8 yards,2.640,0.890
1,13:05,3,18,JAX 44,0,6,"Ben Roethlisberger pass incomplete deep right intended for Santonio Holmes is intercepted by Rashean Mathis at JAX-28 and returned for 72 yards, touchdown",0.890,-7.000
1,,,,PIT 2,0,7,Josh Scobee kicks extra point good,0.000,0.000
1,,,,JAX 30,0,7,"Josh Scobee kicks off 68 yards, returned by Najeh Davenport for 27 yards (tackle by Brian Witherspoon)",0.000,0.870
1,12:38,1,10,PIT 29,0,7,Mewelde Moore up the middle for no gain (tackle by Paul Spicer),0.870,0.330
1,11:54,2,10,PIT 29,0,7,Ben Roethlisberger pass incomplete short middle intended for Matt Spaeth (defended by Gerald Sensabaugh),0.330,-0.360
1,11:50,3,10,PIT 29,0,7,Ben Roethlisberger pass complete short left to Santonio Holmes for 16 yards (tackle by Pierson Prioleau),-0.360,1.930
1,11:06,1,10,PIT 45,0,7,Mewelde Moore right end for 1 yard (tackle by Will James),1.930,1.520
1,10:27,2,9,PIT 46,0,7,Mewelde Moore right end for 8 yards (tackle by Mike Peterson),1.520,1.880
1,9:42,3,1,JAX 46,0,7,Najeh Davenport up the middle for 3 yards (tackle by Brian Williams),1.880,2.720
