Unnamed: 0,PIT,JAX
First Downs,28,14
Rush-Yds-TDs,26-129-0,19-38-1
Cmp-Att-Yd-TD-INT,26-41-309-3-1,18-32-200-1-0
Sacked-Yards,3-23,3-25
Net Pass Yards,286,175
Total Yards,415,213
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,10-129,8-89
Third Down Conv.,7-15,3-13
Fourth Down Conv.,0-0,2-4
Time of Possession,33:23,26:37
