Quarter,Time,Tm,Detail,PIT,JAX
1.0,12:49,Jaguars,Rashean Mathis 72 yard interception return (Josh Scobee kick),0,7
,5:18,Steelers,Heath Miller 1 yard pass from Ben Roethlisberger (Jeff Reed kick),7,7
,2:27,Jaguars,Maurice Jones-Drew 1 yard rush (Josh Scobee kick),7,14
2.0,12:38,Steelers,Jeff Reed 38 yard field goal,10,14
,9:20,Steelers,Nate Washington 48 yard pass from Ben Roethlisberger (Jeff Reed kick),17,14
,0:45,Steelers,Jeff Reed 23 yard field goal,20,14
4.0,14:05,Jaguars,Marcedes Lewis 24 yard pass from David Garrard (Josh Scobee kick),20,21
,1:53,Steelers,Hines Ward 8 yard pass from Ben Roethlisberger (pass failed),26,21
